Protein ID,Gene name,Hep G2,HepA,LX2,Liver,PorV,hHEP,hHSC,hHSC TWNT4,hKC,hLSEC,hLSEC SK Hep1,Protein name
Q8N5I2,ARRDC1,69853000,72277000,99556000,55312500,55419000,122970000,57588000,44651000,121660000,73236000,104660000,Arrestin domain-containing protein 1
M0R075,SLC27A5,,,,140900000,,123035000,,41607000,,50699000,,
Q8IUH5,ZDHHC17,133970000,168699500,121270000,53447000,127070000,123050000,238610000,125880000,124470000,114940000,92721000,Palmitoyltransferase ZDHHC17
G5E9C8,SOS1,337730000,208345000,343190000,183700000,200025000,123070000,213150000,220880000,211420000,174050000,382760000,Son of sevenless homolog 1
P60604-2,UBE2G2,120280000,53227000,75968000,145645000,62722000,123100000,157830000,76780000,48377000,279720000,47114000,Ubiquitin-conjugating enzyme E2 G2
J3QTS8,TPSAB1,92102000,2827350000,77412000,1662985000,5223750000,123160000,32306500,87509000,103630000,7288500,76244000,Tryptase alpha/beta-1
P45983-3,MAPK8,64877000,45071500,198310000,66219000,75610500,123160000,58294000,61547000,104820000,45437000,86133000,Mitogen-activated protein kinase 8
Q9BYF1-2,ACE2,,,,,,123200000,,,,,,Angiotensin-converting enzyme 2
O14686,KMT2D,135460000,182655000,97216000,73421000,169075000,123265000,342850000,139730000,79723000,260410000,151260000,Histone-lysine N-methyltransferase 2D
A0A087X0Y7,CD72,,,,104290000,,123360000,,66900000,465150000,,,B-cell differentiation antigen CD72
Q9H019-3,MTFR1L,71975000,323540000,240030000,183750000,399470000,123370000,182270000,175910000,97559000,342800000,265050000,Mitochondrial fission regulator 1-like
Q9NVG8,TBC1D13,519990000,209150000,349510000,318650000,194975000,123420000,180460000,443030000,241010000,160980000,315280000,TBC1 domain family member 13
P34947,GRK5,50794000,285360000,172800000,322205000,273310000,123530000,203030000,155690000,203890000,534290000,137480000,G protein-coupled receptor kinase 5
Q9HAD4,WDR41,188860000,186720000,119410000,124220000,259430000,123590000,238620000,96480000,209870000,61284000,129730000,WD repeat-containing protein 41
Q00403,GTF2B,253040000,55448000,470090000,121905000,41812000,123600000,122370000,192840000,165330000,128530000,252030000,Transcription initiation factor IIB
O43310,CTIF,73294000,121125000,170340000,79662000,179615000,123640000,288590000,264610000,43116000,114580000,91166000,CBP80/20-dependent translation initiation factor
A0A096LP25,AAK1,135700000,392680000,486700000,200950000,280130000,123680000,357630000,283690000,225880000,309470000,241850000,Uncharacterized protein FLJ45252
B4E3Q4,CECR1,50328000,130790000,71826000,400840000,93664000,123730000,38432500,96782000,1474000000,60546000,57991000,Adenosine deaminase CECR1
J3QSS3,ABCA2,105020000,163590000,93547000,161550000,135660000,123774500,104400000,60504000,112443000,79703500,52534000,ATP-binding cassette sub-family A member 2
Q9NYB0,TERF2IP,626450000,178810000,550930000,265740000,237790000,123820000,257460000,410920000,503300000,375950000,397790000,Telomeric repeat-binding factor 2-interacting protein 1
A0A0G2JJF2,P450-CYP21B,,,,,,123895500,,,,,,Steroid 21-hydroxylase
Q96S59,RANBP9,306360000,74618500,438350000,103110000,69639000,123910000,598050000,274250000,463550000,280100000,179450000,Ran-binding protein 9
A0A1W2PQ13,SLC35A3,186740000,,,114200500,67926000,123920000,83572000,61764000,35330000,72157000,98154000,UDP-N-acetylglucosamine transporter
Q8WUP2,FBLIM1,359650000,9107600000,540420000,720300000,4638200000,124060000,2319100000,2201100000,406150000,1741600000,1838100000,Filamin-binding LIM protein 1
Q8WWH5,TRUB1,899960000,109835500,201360000,152095000,133942000,124100000,149230000,226510000,115550000,145090000,339660000,Probable tRNA pseudouridine synthase 1
P46937,YAP1,264920000,826300000,1113600000,582600000,1288200000,124140000,477820000,815540000,104563000,154780000,715770000,Transcriptional coactivator YAP1
O60524-4,NEMF,583230000,210700000,604770000,369790000,163675000,124160000,617180000,387590000,223850000,765140000,858600000,Nuclear export mediator factor NEMF
Q8WWQ8,STAB2,58558000,53739500,23651000,348695000,75364500,124180000,80360000,35561000,309250000,152090000,48402000,Stabilin-2
P54098,POLG,183380000,117460000,105440000,78092000,120520000,124330000,97608000,103440000,158800000,110660000,179040000,DNA polymerase subunit gamma-1
Q93084-2,ATP2A3,107900000,138330000,114040000,610050000,220490000,124370000,64769000,47320000,3246700000,62596000,39509000,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3
Q92581-2,SLC9A6,57694000,110300000,91627000,73070000,132510000,124500000,227450000,123330000,93079000,140530000,133720000,Sodium/hydrogen exchanger 6
Q6N063-2,OGFOD2,,593440000,,332650000,833535000,124500000,304190000,,110340000,,1071300000,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2
H0YNP1,GLCE,126250000,64717000,194060000,74477000,74480000,124550000,76931000,164970000,,293330000,79598000,D-glucuronyl C5-epimerase
O14646-2,CHD1,872630000,220430000,1265200000,118770000,181200000,124660000,290400000,192050000,486430000,1312400000,618670000,Chromodomain-helicase-DNA-binding protein 1
Q15906,VPS72,420250000,235235000,431550000,66505000,115830000,124830000,162890000,130990000,60873000,228380000,71988000,Vacuolar protein sorting-associated protein 72 homolog
Q5T5Y3,CAMSAP1,210910000,490635000,469650000,227590000,408775000,124861500,166990000,208790000,113510000,185940000,196130000,Calmodulin-regulated spectrin-associated protein 1
A0A0A0MSK4,GPSM1,39041000,95166000,629300000,65782000,95970500,124900000,475000000,87566000,108180000,735970000,302390000,G-protein-signaling modulator 1
A0A087WZM8,TMEM254,,,,,,125020000,,,,,,Transmembrane protein 254
Q9Y2H1,STK38L,284910000,674840000,161330000,159245000,609070000,125170000,218200000,204630000,337400000,176480000,248710000,Serine/threonine-protein kinase 38-like
P78563-2,ADARB1,163410000,328395000,387060000,145750000,282240000,125170000,335650000,160870000,110540000,248390000,83944000,Double-stranded RNA-specific editase 1
O15162-2,PLSCR1,129680000,97223000,137660000,290420000,173080000,125240000,106500000,343200000,639440000,596540000,280070000,Phospholipid scramblase 1
Q86WK9,PAQR7,,,,,,125340000,42888000,,,,,Membrane progestin receptor alpha
Q96IF1,AJUBA,442830000,74055000,100530000,51395500,49145000,125350000,16994000,51371000,34077000,20875500,913310000,LIM domain-containing protein ajuba
Q8IYB5-3,SMAP1,133610000,134930000,293830000,103780000,217370000,125350000,203930000,202710000,156230000,103150000,94357000,Stromal membrane-associated protein 1
Q9Y657,SPIN1,422540000,91218000,809790000,119265000,106260000,125500000,51943000,283110000,154217500,158289000,564290000,Spindlin-1
Q9ULX6,AKAP8L,664300000,49522000,394210000,126575000,69851000,125620000,231740000,239180000,134250000,486260000,454760000,A-kinase anchor protein 8-like
Q13615-3,MTMR3,130580000,135140000,385820000,329220000,145150000,125810000,176240000,185320000,922330000,217130000,229380000,Myotubularin-related protein 3
Q6P161,MRPL54,310340000,39474000,136360000,99970000,45853000,125892000,,173320000,84480000,,389830000,"39S ribosomal protein L54, mitochondrial"
A0A0G2JQX1,TUBGCP5,66846000,,76899000,167130000,149790000,126010000,96516000,177550000,116420000,146820000,212300000,Gamma-tubulin complex component 5
O75528,TADA3,53802000,101470000,59339000,37548000,43784500,126020000,50828000,36727000,72934000,71157000,39294000,Transcriptional adapter 3
P49441,INPP1,212840000,191495000,333280000,646405000,106883500,126070000,64179000,95309000,84741000,73947000,231480000,Inositol polyphosphate 1-phosphatase
Q12972,PPP1R8,709350000,166990000,548110000,319935000,176790000,126170000,195650000,234880000,212090000,244570000,567720000,Nuclear inhibitor of protein phosphatase 1
A0A286YFA9,FRY,79397000,208435000,,116655000,219380000,126190000,267220000,106440000,89373000,404300000,71296000,Protein furry homolog
Q9Y5B6,PAXBP1,399100000,110645000,196800000,164125000,58178000,126240000,158770000,139390000,216730000,183970000,282670000,PAX3- and PAX7-binding protein 1
Q5T5U3,ARHGAP21,109580000,157620000,121060000,114050000,155330000,126270000,103380000,199250000,124670000,120090000,239710000,Rho GTPase-activating protein 21
K7EIN2,NUDT16L1,152590000,101540500,94966000,102345000,38839000,126290000,86404000,55496000,122000000,96659000,52641000,Protein syndesmos
Q8N8S7,ENAH,767960000,2332050000,1274100000,421100000,2470550000,126300000,1859900000,1099900000,182320000,561980000,630250000,Protein enabled homolog
P21580,TNFAIP3,298650000,94117500,380610000,38386000,112740000,126340000,612590000,139300000,28182000,75813000,55244000,Tumor necrosis factor alpha-induced protein 3
A0A087WYP2,C11orf31,20805000,82472000,121750000,311440000,107865000,126430000,54085000,96014000,397060000,389240000,20248000,Selenoprotein H
Q8TDY2-2,RB1CC1,203330000,212120000,399590000,133830000,147945000,126440000,583510000,572280000,208980000,692920000,560430000,RB1-inducible coiled-coil protein 1
O15213,WDR46,962960000,77927000,59307000,87955000,42660000,126560000,330480000,192650000,67300000,342850000,936070000,WD repeat-containing protein 46
Q9H0V1,TMEM168,134910000,143655000,356090000,69007500,71481000,126570000,170640000,93744000,167770000,129300000,483650000,Transmembrane protein 168
B7ZM87,SRGAP2,436760000,137185000,789370000,216895000,172080000,126570000,369330000,492450000,527400000,425420000,663090000,SLIT-ROBO Rho GTPase-activating protein 2
Q6PJG6,BRAT1,144150000,203950000,41332000,94743500,115856500,126590000,101250000,72512000,262800000,165380000,542040000,BRCA1-associated ATM activator 1
O94804,STK10,244920000,83675500,1509000000,956965000,79332000,126590000,707320000,749200000,3405800000,612050000,1481000000,Serine/threonine-protein kinase 10
Q9H3Q1,CDC42EP4,148920000,234710000,460960000,204500000,166305000,126600000,144210000,171530000,100935500,173840000,112210000,Cdc42 effector protein 4
Q9NW81-5,ATP5SL,84715000,19755000,53609000,122065000,47821000,126680000,81487000,277290000,52388000,270740000,,ATP synthase subunit s-like protein
Q9BZE9-2,ASPSCR1,809180000,151740000,278260000,354775000,154635000,126700000,161040000,330580000,195430000,226010000,537240000,Tether containing UBX domain for GLUT4
Q9NYH9,UTP6,1186600000,63448500,100710000,99635500,63255000,126770000,355010000,273520000,178430000,771040000,736150000,U3 small nucleolar RNA-associated protein 6 homolog
Q96J92,WNK4,87861000,382410000,379160000,64445000,164265000,126835000,587980000,503260000,72923000,274620000,233390000,Serine/threonine-protein kinase WNK4
Q03169,TNFAIP2,189780000,338685000,994130000,645335000,605495000,126850000,759340000,496310000,1385300000,258640000,2602200000,Tumor necrosis factor alpha-induced protein 2
P32780,GTF2H1,121140000,45686000,156160000,60147500,61784000,126940000,272010000,407720000,161350000,251740000,278670000,General transcription factor IIH subunit 1
Q6PCE3,PGM2L1,255750000,508445000,765490000,318915000,381810000,127020000,278960000,801540000,327730000,86172000,555320000,"Glucose 1,6-bisphosphate synthase"
F5H5P4,VAV1,50543000,31989000,13786000,297245000,53835500,127040000,58761000,47609000,1623500000,18640000,69560000,Proto-oncogene vav
Q13084,MRPL28,244880000,74302500,67626000,102751000,27344000,127230000,192320000,140370000,83472000,992250000,234590000,"39S ribosomal protein L28, mitochondrial"
Q9NTN3,SLC35D1,67083000,112504500,,245340000,,127260000,27040000,37669000,168470000,33292500,22565000,UDP-glucuronic acid/UDP-N-acetylgalactosamine transporter
Q6BCY4,CYB5R2,74281000,198515000,89370000,149770000,68532000,127310000,113300000,30554000,95683000,68717500,668940000,NADH-cytochrome b5 reductase 2
A0A0G2JRQ6,A0A0G2JRQ6,,339855000,,175230000,205580000,127420000,86131000,,99893000,64391000,,
Q9P299,COPZ2,123900000,151365000,144930000,161040000,117961000,127430000,357570000,351220000,49528500,103520000,218610000,Coatomer subunit zeta-2
Q86TI2,DPP9,643540000,235780000,897150000,760985000,233390000,127590000,229490000,532030000,371590000,186570000,915420000,Dipeptidyl peptidase 9
O15439,ABCC4,112240000,68202000,452300000,38897500,69799500,127690000,1311200000,450930000,27806000,832330000,676940000,Multidrug resistance-associated protein 4
O00329,PIK3CD,133300000,64244000,273730000,198890000,51323500,127890000,51260000,102320000,834410000,90448000,343850000,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"
Q9H9Q2,COPS7B,433420000,143820000,506700000,111610000,128520000,127968000,116850000,183370000,134180000,124270000,273430000,COP9 signalosome complex subunit 7b
B4DR80,STK24,747150000,615945000,1637100000,626190000,721715000,128010000,573520000,1128300000,608390000,418620000,1031500000,Serine/threonine-protein kinase 24
Q14320,FAM50A,775220000,114413500,1866300000,160155000,140855000,128060000,266090000,453760000,257080000,295270000,1331600000,Protein FAM50A
Q13769,THOC5,685570000,42823500,420070000,154180000,60670500,128110000,205290000,239330000,364200000,680120000,506750000,THO complex subunit 5 homolog
A0A1B0GUI1,RALGAPA1,393910000,119475000,52863000,72124000,158940000,128120000,136140000,63674000,43389000,170025500,89262000,Ral GTPase-activating protein subunit alpha-1
Q8TEA8,DTD1,808000000,182510000,630750000,265335000,217345000,128130000,289990000,271060000,199330000,325550000,784830000,D-tyrosyl-tRNA(Tyr) deacylase 1
P48426,PIP4K2A,378230000,882170000,521680000,758250000,1066800000,128160000,543800000,625730000,1634500000,247150000,418500000,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha
P35575,G6PC,21993000,46503000,,62793000,30500000,128300000,15254300,16164000,,22304000,11829000,Glucose-6-phosphatase
Q9NZD4,AHSP,47047000,355245000,35079000,77808500,130485000,128300500,38877000,29693000,414800000,34731000,21152000,Alpha-hemoglobin-stabilizing protein
Q8WUF5,PPP1R13L,131380000,195275000,848570000,164635000,356765000,128310000,381790000,1150900000,125140000,311840000,2338200000,RelA-associated inhibitor
Q16270-2,IGFBP7,16626000,5808800000,661410000,544175000,2200300000,128390000,2598800000,1565500000,115650000,1308000000,92182000,Insulin-like growth factor-binding protein 7
E7EVH9,HDHD1,65420000,109700000,92229000,187985000,101089500,128455500,166760000,203430000,139410000,117867500,171530000,Pseudouridine-5-phosphatase
C9JVE2,DCUN1D1,226770000,252390000,377690000,328635000,182970000,128650000,198300000,480470000,171990000,104621500,181630000,DCN1-like protein
Q96CX2,KCTD12,72814000,1381600000,166950000,1468650000,1828550000,128690000,1023200000,3156200000,4094800000,1443100000,166000000,BTB/POZ domain-containing protein KCTD12
P78332,RBM6,450590000,81717000,225330000,163255000,124630000,128720000,235270000,245990000,244820000,402340000,239010000,RNA-binding protein 6
Q12860,CNTN1,46187000,331920000,88930000,91509500,730160000,128820000,21142000,35222000,73555000,27485000,37931000,Contactin-1
Q8N5Y8,PARP16,36882000,,35449000,53108000,36504000,128940000,43432000,,45911500,15982000,26864000,Mono [ADP-ribose] polymerase PARP16
Q8WUA2,PPIL4,746360000,171645000,969390000,254315000,176945000,129060000,430670000,381150000,214170000,298980000,646660000,Peptidyl-prolyl cis-trans isomerase-like 4
A0A0D9SGJ6,SYNJ1,71865000,113720000,232380000,168835000,123495000,129130000,126600000,252840000,270740000,191740000,147270000,Synaptojanin-1
F5GZ97,CCDC53,107130000,110759000,183180000,184315000,179550000,129320000,176430000,216850000,260150000,196770000,499930000,WASH complex subunit CCDC53
Q9BTE3-2,MCMBP,1050200000,118550000,1304800000,229930000,75381000,129320000,228870000,798160000,676590000,520390000,752010000,Mini-chromosome maintenance complex-binding protein
Q5JTA5,CD34,23891000,452360000,45809000,64050000,715575000,129350000,170100000,37305000,68753500,244730500,33826000,Hematopoietic progenitor cell antigen CD34
E9PER6,PDPK1,297280000,134230000,165800000,161455000,139035000,129390000,180900000,225970000,184760000,186530000,155530000,3-phosphoinositide-dependent protein kinase 1
S5FZ81,PHF10,116050000,72836000,184300000,35083000,69832000,129430000,109070000,53802000,74225000,83055000,98152000,PHD finger protein 10
Q6NW34-2,C3orf17,148650000,73058500,136680000,105689500,99907500,129440000,177670000,124990000,126500000,271560000,317900000,Uncharacterized protein C3orf17
Q9Y6P5-2,SESN1,33937000,,26767000,35115000,52985000,129450000,31268000,,33273000,40527000,,Sestrin-1
Q14CX7,NAA25,820810000,279345000,649140000,170415000,119290000,129460000,256480000,207300000,240730000,131790000,367270000,"N-alpha-acetyltransferase 25, NatB auxiliary subunit"
Q06265,EXOSC9,639740000,49416000,359710000,114390000,56500000,129480000,222930000,274230000,105700000,453350000,306480000,Exosome complex component RRP45
A0A0A0MTD1,STAU2,169090000,77788000,340060000,129640000,153825000,129490000,163220000,242420000,70739000,378920000,237420000,Double-stranded RNA-binding protein Staufen homolog 2
Q9UGI8-2,TES,464620000,5478550000,572570000,738335000,1232300000,129510000,761330000,183030000,1805900000,579340000,520450000,Testin
Q3ZCW2,LGALSL,250760000,200065000,133120000,203720000,167550000,129770000,83973000,62774000,102430000,109106500,158200000,Galectin-related protein
P06493,CDK1,3598700000,79183500,3236500000,64361500,68713000,129790000,159300000,888790000,311770000,432990000,180040000,Cyclin-dependent kinase 1
A0A087WXN9,MTSS1L,212760000,92838500,77391000,188175000,110060000,129800000,29017000,105280000,84675000,51699000,54464000,MTSS1-like protein
Q92785,DPF2,456090000,52868500,377420000,67345500,67369500,129800000,185280000,254790000,240090000,463430000,168300000,Zinc finger protein ubi-d4
Q86UA1,PRPF39,85313000,120784000,214740000,151380000,65792000,129850000,73408000,131080000,251810000,96268000,247180000,Pre-mRNA-processing factor 39
Q13564-3,NAE1,1348900000,798560000,2069600000,979275000,999310000,130060000,566270000,1068800000,689120000,579690000,2161500000,NEDD8-activating enzyme E1 regulatory subunit
P31944,CASP14,37117000,,23851000,36935000,48419000,130100000,49921000,28501000,45297000,,,Caspase-14
Q05655,PRKCD,256180000,346655000,432070000,213390000,602015000,130170000,146210000,288650000,1066900000,174650000,433950000,Protein kinase C delta type
Q15262-2,PTPRK,395310000,227540000,404030000,223890000,297055000,130260000,337100000,338890000,103590000,219750000,408140000,Receptor-type tyrosine-protein phosphatase kappa
Q92611,EDEM1,36979000,44974000,,33647000,,130390000,32274000,42234000,,161120000,17755000,ER degradation-enhancing alpha-mannosidase-like protein 1
A0A0J9YWL0,AIM1,311360000,128030000,139360000,194155000,121975000,130510000,135280000,129440000,548570000,621940000,46050000,Absent in melanoma 1 protein
O75936,BBOX1,44213000,27358500,,497795000,35092000,130660000,17176000,12729000,49592000,20203000,36511000,Gamma-butyrobetaine dioxygenase
Q86YN1,DOLPP1,72398000,,62354000,112415000,23380000,130665000,30804000,,,,31588000,Dolichyldiphosphatase 1
Q9NV66,TYW1,79885000,102030000,41282000,62104000,84395500,130710000,62526000,48096000,84058000,,46117000,S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase
Q96K37,SLC35E1,110180000,33635000,75303000,43862000,19928500,130730000,279450000,82270000,87144000,269940000,61556000,Solute carrier family 35 member E1
Q8N2H3,PYROXD2,38876000,105776000,76571000,57506000,66529500,130890000,71191000,94132000,47493000,52648000,88990000,Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2
A0A0C4DGA6,HLTF,487500000,116320000,2435000000,82649500,85635000,130890000,207030000,377010000,66530000,114131500,387540000,Helicase-like transcription factor
P14618,PKM,3743800000,2650150000,8629300000,298235000,1810700000,131020000,2916200000,9479600000,1917500000,264450000,8715500000,Pyruvate kinase PKM
Q86YV9,HPS6,108600000,,52079000,38606000,27871000,131040000,173990000,109040000,170900000,132660000,183830000,Hermansky-Pudlak syndrome 6 protein
S4R460,IGHV3OR16-9,118730000,2171200000,46570000,855325000,2400600000,131160000,70210000,35496000,47572000,30652000,42867000,Ig heavy chain V-III region BRO
Q9Y4R8,TELO2,630880000,61125000,302010000,62097500,78562000,131260000,136110000,131240000,150910000,176330000,200870000,Telomere length regulation protein TEL2 homolog
I3VM54,KDM2A,233190000,1007865000,589440000,191645000,584990000,131280000,208450000,242880000,277280000,291700000,297570000,Lysine-specific demethylase 2A
B0QY95,MIEF1,65297000,182520000,44655000,73054000,,131400000,57281000,54018000,67559000,135030000,45849000,Mitochondrial dynamics protein MID51
P19320,VCAM1,179960000,695300000,200700000,1463450000,361510000,131410000,109800000,90486000,992780000,249990000,114590000,Vascular cell adhesion protein 1
Q8WUA8,TSKU,63266000,272695000,63246000,109533000,304410000,131710000,205020000,,,408270000,70759000,Tsukushin
O75879,GATB,349660000,,110500000,167490000,40310000,131940000,101360000,76341000,130800000,168490000,84235000,"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial"
P27449,ATP6V0C,,,,54322000,72913000,131970000,208300000,35602000,284355000,,,V-type proton ATPase 16 kDa proteolipid subunit
Q9BRT3,MIEN1,184380000,105693000,301570000,247540000,119123000,132100000,42984500,107690000,249600000,77746500,271160000,Migration and invasion enhancer 1
Q14145,KEAP1,108180000,87837500,56013000,68061500,42779000,132170000,99765000,49147000,78352000,187440000,47060000,Kelch-like ECH-associated protein 1
Q8IY37,DHX37,1750000000,65948000,281010000,185165000,55233000,132190000,419980000,288520000,240540000,727630000,1078900000,Probable ATP-dependent RNA helicase DHX37
Q13442,PDAP1,746450000,470475000,1887400000,482810000,474915000,132250000,449900000,701190000,202760000,768630000,1188900000,28 kDa heat- and acid-stable phosphoprotein
Q86TP1,PRUNE,181810000,175310000,264070000,219090000,272925000,132490000,127900000,134080000,130490000,99746000,140230000,Protein prune homolog
Q03164,KMT2A,466040000,90243500,619340000,153980000,187780000,132560000,157980000,296790000,103390000,337710000,519930000,Histone-lysine N-methyltransferase 2A
Q9NRL3,STRN4,375300000,297540000,668330000,259270000,299960000,132690000,542340000,440110000,300780000,670550000,407430000,Striatin-4
G5E9P4,PQLC3,41797000,,66571000,82114000,36006000,132810000,90397000,19218000,108090000,85165000,48883000,PQ-loop repeat-containing protein 3
Q8NBM4,UBAC2,194930000,75575000,75940000,64186500,29135000,132810000,179300000,39301000,113330000,232100000,68098000,Ubiquitin-associated domain-containing protein 2
Q8NBL1,POGLUT1,320010000,245005000,104030000,166050000,185860000,132880000,277020000,161670000,360450000,249800000,238610000,Protein O-glucosyltransferase 1
P35269,GTF2F1,1087200000,655720000,992720000,561435000,658640000,132930000,194720000,722480000,240370000,228510000,702180000,General transcription factor IIF subunit 1
Q9H2P9,DPH5,323260000,51790500,156630000,164470000,83441000,133020000,82378000,145440000,67893500,168840000,536770000,Diphthine synthase
Q7Z5K2,WAPAL,1022500000,60271500,969510000,207250000,58714000,133040000,273000000,560990000,418670000,411730000,697560000,Wings apart-like protein homolog
Q9Y478,PRKAB1,92367000,233550000,388550000,251210000,325175000,133060000,85324000,143620000,89097000,71077000,193470000,5-AMP-activated protein kinase subunit beta-1
P02042,HBD,40791000,44249000000,80451000,11360500000,38679000000,133140000,51928000,24874000,230700000,37812000,376410000,Hemoglobin subunit delta
Q01804,OTUD4,327980000,135395000,499300000,159785000,189770000,133210000,296570000,317660000,210400000,211790000,645980000,OTU domain-containing protein 4
A0A0A6YYJ5,MACF1,836190000,277630000,246940000,278890000,274090000,133230000,1313000000,205010000,443850000,281300000,558420000,
A0A075B738,PECAM1,142750000,727360000,190910000,804335000,900310000,133290000,152050000,192310000,1800200000,1348400000,82387000,
Q9Y4K0,LOXL2,66837000,50392000,1239300000,32758000,69150500,133320000,1137600000,222150000,66657000,303640000,1692800000,Lysyl oxidase homolog 2
Q9Y2Q0-3,ATP8A1,54496000,77088000,42222000,70055500,87666500,133340000,39504000,17356000,833370000,465730000,45370000,Phospholipid-transporting ATPase IA
O95295,SNAPIN,148330000,113820000,121310000,214515000,124170000,133530000,227300000,253190000,246770000,195370000,316780000,SNARE-associated protein Snapin
Q9UPT8,ZC3H4,602740000,106155000,744720000,266645000,86169500,133770000,256270000,332540000,524360000,521100000,751890000,Zinc finger CCCH domain-containing protein 4
Q9Y676,MRPS18B,989590000,58759000,283730000,211595000,55799500,133800000,206960000,301900000,104560000,467050000,652100000,"28S ribosomal protein S18b, mitochondrial"
P11245,NAT2,16747000,20366000,24547000,20103000,19246000,134010000,,,,23643000,14948000,Arylamine N-acetyltransferase 2
P98161-2,PKD1,,143730000,,100350000,99245000,134200000,142260000,,121500000,87736000,133040000,Polycystin-1
Q9H993,ARMT1,782380000,406990000,494740000,814360000,465340000,134200000,153800000,261740000,479250000,173480000,223340000,Protein-glutamate O-methyltransferase
P20774,OGN,138160000,1.1589E+11,86372000,6736900000,1.22575E+11,134240000,91498000,319670000,86139000,49076000,349630000,Mimecan
A0A0A0MRU5,CLN5,39674000,130450000,42771000,122725000,200960000,134260000,105870000,139370000,150050000,81454000,150680000,Ceroid-lipofuscinosis neuronal protein 5
G5E950,ELN,,1196695000,79051000,42944500,732255000,134400000,,,,,,
O60245,PCDH7,143900000,838705000,123140000,204010000,819395000,134595000,234520000,134640000,134714500,196475000,117690000,Protocadherin-7
Q9NYI0-2,PSD3,33930000,92902500,112630000,161970000,90122000,134690000,182770000,183890000,278760000,182030000,520590000,PH and SEC7 domain-containing protein 3
Q96A35,MRPL24,454260000,39876000,190110000,138545000,84570500,134770000,229600000,198660000,367250000,583390000,602300000,"39S ribosomal protein L24, mitochondrial"
Q9P265,DIP2B,561750000,165990000,703430000,625510000,327365000,134770000,623030000,623480000,432780000,523080000,422480000,Disco-interacting protein 2 homolog B
Q9P219,CCDC88C,85259000,203890000,,69161000,198661000,134825000,126760000,,118690000,411290000,,Protein Daple
Q14004-2,CDK13,167270000,101190000,216880000,143350000,55107000,134880000,148240000,158580000,167590000,168300000,415910000,Cyclin-dependent kinase 13
Q9Y291,MRPS33,163510000,118417000,88800000,51765000,,134900000,79240000,74021000,87032000,179270000,132100000,"28S ribosomal protein S33, mitochondrial"
Q14849-2,STARD3,175540000,167005000,97468000,162175000,197800000,134920000,78992000,157580000,198440000,127010000,150960000,StAR-related lipid transfer protein 3
Q14449-2,GRB14,,,,105455000,44907000,134960000,26687000,,75621000,,40695000,Growth factor receptor-bound protein 14
Q9NX76,CMTM6,,,51559000,224310000,,135030000,72349000,,127440000,141190000,51255000,CKLF-like MARVEL transmembrane domain-containing protein 6
P16220,CREB1,322090000,215080000,644790000,248850000,136240000,135070000,258610000,222300000,728740000,699000000,350890000,Cyclic AMP-responsive element-binding protein 1
Q9UNA0,ADAMTS5,54616000,146550000,,167640000,312540000,135190000,117762500,87830000,294500000,407730000,,A disintegrin and metalloproteinase with thrombospondin motifs 5
Q2NL82,TSR1,1017000000,53473000,1074800000,169100000,73342000,135370000,298400000,470340000,284770000,339650000,1467800000,Pre-rRNA-processing protein TSR1 homolog
E7EWD9,ESRRB,,,,,,135420000,,,398090000,,,Steroid hormone receptor ERR2
P13686,ACP5,,82307000,,101607000,,135435000,76508000,44294000,85832000,100167500,,Tartrate-resistant acid phosphatase type 5
Q12765,SCRN1,1776900000,1763900000,2680700000,520030000,2231400000,135530000,1088400000,3254500000,455830000,381320000,3953300000,Secernin-1
Q8WTS1,ABHD5,36438000,52165000,74078000,64633000,98678000,135620000,44026500,19831000,,38499000,129990000,1-acylglycerol-3-phosphate O-acyltransferase ABHD5
Q04721,NOTCH2,101050000,69666500,408210000,88706000,83391500,135630000,640520000,384110000,92599000,222070000,408530000,Neurogenic locus notch homolog protein 2
P59768,GNG2,57790000,262985000,253000000,671405000,349445000,135680000,162130000,56998000,2236700000,438050000,54830000,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2
Q8IVG5,SAMD9L,110600000,209920000,92592000,156730000,133975000,135770000,248940000,92223000,294470000,170040000,291600000,Sterile alpha motif domain-containing protein 9-like
A0A0D9SEN1,FAP,110430000,113995000,288090000,139735000,76765000,135810000,5655500000,3858500000,55599000,1044000000,146150000,Prolyl endopeptidase FAP
Q9ULZ3,PYCARD,187570000,174175000,102130000,514230000,214090000,135930000,206760000,108800000,4984500000,231680000,530640000,Apoptosis-associated speck-like protein containing a CARD
O00506,STK25,117180000,78820000,65161000,104500000,105105000,135990000,217120000,192150000,78657000,240060000,171220000,Serine/threonine-protein kinase 25
Q9UQN3-2,CHMP2B,66999000,163050000,438720000,121863000,306525000,136010000,91061000,91012000,129190000,61903000,366620000,Charged multivesicular body protein 2b
Q6FI81,CIAPIN1,2620900000,179050000,617470000,510350000,300680000,136030000,299870000,534220000,362470000,370200000,545770000,Anamorsin
