Protein,cluster_anchorprotein,int_mean,Symbol,Genename,ENSEMBL
P62270,2,8609.455993912883,Rps18,ribosomal protein S18,ENSMUSG00000008668
P62281,2,6760.385737053652,Rps11,ribosomal protein S11,ENSMUSG00000003429
P62301,2,11047.326452283078,Rps13,ribosomal protein S13,ENSMUSG00000090862
P62315,2,461.15926912314063,Snrpd1,small nuclear ribonucleoprotein D1,ENSMUSG00000002477
P62320,2,1850.4451079564433,Snrpd3,small nuclear ribonucleoprotein D3,ENSMUSG00000020180
P62331,2,1928.99092369774,Arf6,ADP-ribosylation factor 6,ENSMUSG00000044147
P62334,2,4243.695895354359,Psmc6,"proteasome (prosome, macropain) 26S subunit, ATPase, 6",ENSMUSG00000021832
P62702,2,8258.287479367547,Rps4x,"ribosomal protein S4, X-linked",ENSMUSG00000031320
P62717,2,7679.457860892452,Rpl18a,ribosomal protein L18A,ENSMUSG00000045128
P62751,2,10595.908149618215,Rpl23a,ribosomal protein L23A,ENSMUSG00000058546
P62754,2,6363.79838921027,Rps6,ribosomal protein S6,ENSMUSG00000028495
P62806,2,55909.17885546764,H4c8,H4 clustered histone 8,ENSMUSG00000060981
P62814,2,2796.858229390004,Atp6v1b2,"ATPase, H+ transporting, lysosomal V1 subunit B2",ENSMUSG00000006273
P62821,2,5585.531365247211,Rab1a,"RAB1A, member RAS oncogene family",ENSMUSG00000020149
P62827,2,3459.723806095153,Ran,"RAN, member RAS oncogene family",ENSMUSG00000029430
P62830,2,5165.780837604048,Rpl23,ribosomal protein L23,ENSMUSG00000071415
P62835,2,2515.9026422927755,Rap1a,RAS-related protein 1a,ENSMUSG00000068798
P62843,2,1581.497085548426,Rps15,ribosomal protein S15,ENSMUSG00000063457
P62849,2,8657.540971665652,Rps24,ribosomal protein S24,ENSMUSG00000025290
P62852,2,7904.714476490698,Rps25,ribosomal protein S25,ENSMUSG00000009927
P62855,2,2677.7085663905214,Rps26,ribosomal protein S26,ENSMUSG00000025362
P62862,2,5063.201938860906,NA,NA,NA
P62880,2,1943.3893949741928,Gnb2,"guanine nucleotide binding protein (G protein), beta 2",ENSMUSG00000029713
P62889,2,4241.009047914255,Rpl30,ribosomal protein L30,ENSMUSG00000058600
P62897,2,6498.004323387198,Cycs,"cytochrome c, somatic",ENSMUSG00000063694
P62900,2,9235.661316931013,Rpl31,ribosomal protein L31,ENSMUSG00000073702
P62908,2,8380.502891988404,Rps3,ribosomal protein S3,ENSMUSG00000030744
P62911,2,5871.532460186218,Rpl32,ribosomal protein L32,ENSMUSG00000057841
P62918,2,8544.429937921866,Rpl8,ribosomal protein L8,ENSMUSG00000003970
P62960,2,3722.1572757422337,Ybx1,Y box protein 1,ENSMUSG00000028639
P62962,2,4320.455740895236,Pfn1,profilin 1,ENSMUSG00000018293
P62996,2,421.7086755890757,Tra2b,transformer 2 beta,ENSMUSG00000022858
P63005,2,0,Pafah1b1,"platelet-activating factor acetylhydrolase, isoform 1b, subunit 1",ENSMUSG00000020745
P63017,2,9168.53133934254,Hspa8,heat shock protein 8,ENSMUSG00000015656
P63028,2,2633.1874000607827,Tpt1,"tumor protein, translationally-controlled 1",ENSMUSG00000060126
P63037,2,3304.4758509322287,Dnaja1,DnaJ heat shock protein family (Hsp40) member A1,ENSMUSG00000028410
P63038,2,7139.160477009289,Hspd1,heat shock protein 1 (chaperonin),ENSMUSG00000025980
P63073,2,1521.2514884895952,Eif4e,eukaryotic translation initiation factor 4E,ENSMUSG00000028156
P63094,2,2925.282540392833,Gnas,"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus",ENSMUSG00000027523
P63101,2,4714.109432110889,Ywhaz,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide",ENSMUSG00000022285
P63158,2,5269.19776337022,Hmgb1,high mobility group box 1,ENSMUSG00000066551
P63242,2,1891.292196389206,Eif5a,eukaryotic translation initiation factor 5A,ENSMUSG00000078812
P63276,2,5570.93202080544,Rps17,ribosomal protein S17,ENSMUSG00000061787
P63323,2,6928.579780475857,NA,NA,NA
P63325,2,7572.285470812887,Rps10,ribosomal protein S10,ENSMUSG00000052146
P67778,2,8720.79743075638,Phb,prohibitin,ENSMUSG00000038845
P67984,2,7302.748012448978,Rpl22,ribosomal protein L22,ENSMUSG00000028936
P68037,2,849.6589877817959,Ube2l3,ubiquitin-conjugating enzyme E2L 3,ENSMUSG00000038965
P68040,2,7636.706614011933,Rack1,receptor for activated C kinase 1,ENSMUSG00000020372
P68134,2,12982.77322155766,Acta1,"actin alpha 1, skeletal muscle",ENSMUSG00000031972
P68254,2,2511.661067966909,Ywhaq,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta,ENSMUSG00000076432
P68368,2,3747.2766795312764,Tuba4a,"tubulin, alpha 4A",ENSMUSG00000026202
P68372,2,6613.082795587659,Tubb4b,"tubulin, beta 4B class IVB",ENSMUSG00000036752
P68373,2,6880.2914905780835,Tuba1c,"tubulin, alpha 1C",ENSMUSG00000043091
P68433,2,63300.279352868674,H3c8,H3 clustered histone 8,ENSMUSG00000099517
P68510,2,1886.8203688715187,Ywhah,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide",ENSMUSG00000018965
P70168,2,1876.713785971378,Kpnb1,karyopherin (importin) beta 1,ENSMUSG00000001440
P70194,2,1499.3729645631884,Clec4f,"C-type lectin domain family 4, member f",ENSMUSG00000014542
P70195,2,1969.2753680686726,Psmb7,"proteasome (prosome, macropain) subunit, beta type 7",ENSMUSG00000026750
P70296,2,2535.837820068941,Pebp1,phosphatidylethanolamine binding protein 1,ENSMUSG00000032959
P70302,2,0,Stim1,stromal interaction molecule 1,ENSMUSG00000030987
P70318,2,1742.081601121647,Tial1,Tia1 cytotoxic granule-associated RNA binding protein-like 1,ENSMUSG00000030846
P70333,2,3249.794437889485,Hnrnph2,heterogeneous nuclear ribonucleoprotein H2,ENSMUSG00000045427
P70349,2,7678.775275585697,Hint1,histidine triad nucleotide binding protein 1,ENSMUSG00000020267
P70372,2,0,Elavl1,"ELAV (embryonic lethal, abnormal vision)-like 1 (Hu antigen R)",ENSMUSG00000040028
P70398,2,1857.6170529324795,Usp9x,"ubiquitin specific peptidase 9, X chromosome",ENSMUSG00000031010
P70441,2,1821.5626303582274,Slc9a3r1,"solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1",ENSMUSG00000020733
P70670,2,2402.28326088752,Naca,nascent polypeptide-associated complex alpha polypeptide,ENSMUSG00000061315
P70677,2,1338.155860266691,Casp3,caspase 3,ENSMUSG00000031628
P70694,2,6978.252523987752,Akr1c6,"aldo-keto reductase family 1, member C6",ENSMUSG00000021210
P80313,2,3002.258499229817,Cct7,"chaperonin containing Tcp1, subunit 7 (eta)",ENSMUSG00000030007
P80314,2,2746.3756422568213,Cct2,"chaperonin containing Tcp1, subunit 2 (beta)",ENSMUSG00000034024
P80315,2,2729.5263335521204,Cct4,"chaperonin containing Tcp1, subunit 4 (delta)",ENSMUSG00000007739
P80316,2,3718.560630994322,Cct5,"chaperonin containing Tcp1, subunit 5 (epsilon)",ENSMUSG00000022234
P80317,2,2940.381772993815,Cct6a,"chaperonin containing Tcp1, subunit 6a (zeta)",ENSMUSG00000029447
P80318,2,3271.5013586856926,Cct3,"chaperonin containing Tcp1, subunit 3 (gamma)",ENSMUSG00000001416
P83882,2,5001.516604210813,Rpl36a,ribosomal protein L36A,ENSMUSG00000079435
P84084,2,2813.216954517737,Arf5,ADP-ribosylation factor 5,ENSMUSG00000020440
P84091,2,2616.2975005671387,Ap2m1,"adaptor-related protein complex 2, mu 1 subunit",ENSMUSG00000022841
P84099,2,8754.25737107133,Rpl19,ribosomal protein L19,ENSMUSG00000017404
P85094,2,2205.7813826393426,Isoc2a,isochorismatase domain containing 2a,ENSMUSG00000086784
P97351,2,11208.84621067529,Rps3a1,ribosomal protein S3A1,ENSMUSG00000028081
P97364,2,3012.2938660828554,Sephs2,selenophosphate synthetase 2,ENSMUSG00000049091
P97370,2,0,Atp1b3,"ATPase, Na+/K+ transporting, beta 3 polypeptide",ENSMUSG00000032412
P97371,2,3665.234189733718,Psme1,"proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)",ENSMUSG00000022216
P97372,2,1950.8163992609798,Psme2,"proteasome (prosome, macropain) activator subunit 2 (PA28 beta)",ENSMUSG00000079197
P97379,2,1753.7194172799855,G3bp2,GTPase activating protein (SH3 domain) binding protein 2,ENSMUSG00000029405
P97429,2,5497.380159215143,Anxa4,annexin A4,ENSMUSG00000029994
P97449,2,5524.119757392472,Anpep,alanyl (membrane) aminopeptidase,ENSMUSG00000039062
P97450,2,10730.239974403637,Atp5j,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F",ENSMUSG00000022890
P97457,2,3010.896332363449,Mylpf,"myosin light chain, phosphorylatable, fast skeletal muscle",ENSMUSG00000030672
P97461,2,3443.01767081332,Rps5,ribosomal protein S5,ENSMUSG00000012848
P97494,2,3475.9053389021738,Gclc,"glutamate-cysteine ligase, catalytic subunit",ENSMUSG00000032350
P97501,2,1836.1248579577734,Fmo3,flavin containing monooxygenase 3,ENSMUSG00000026691
P97742,2,3408.6370459105115,Cpt1a,"carnitine palmitoyltransferase 1a, liver",ENSMUSG00000024900
P97792,2,0,Cxadr,coxsackie virus and adenovirus receptor,ENSMUSG00000022865
P97807,2,5630.361775644511,Fh1,fumarate hydratase 1,ENSMUSG00000026526
P97823,2,2066.5862041235227,Lypla1,lysophospholipase 1,ENSMUSG00000025903
P97855,2,2829.802393532405,G3bp1,GTPase activating protein (SH3 domain) binding protein 1,ENSMUSG00000018583
P97872,2,13299.469440324769,Fmo5,flavin containing monooxygenase 5,ENSMUSG00000028088
P99024,2,2888.9689774867456,Tubb5,"tubulin, beta 5 class I",ENSMUSG00000001525
P99026,2,2708.677806174822,Psmb4,"proteasome (prosome, macropain) subunit, beta type 4",ENSMUSG00000005779
P99027,2,8571.012459751495,Rplp2,"ribosomal protein, large P2",ENSMUSG00000025508
P99029,2,5755.654209044307,Prdx5,peroxiredoxin 5,ENSMUSG00000024953
Q00519,2,3023.7274569357655,Xdh,xanthine dehydrogenase,ENSMUSG00000024066
Q00623,2,7087.134942421728,Apoa1,apolipoprotein A-I,ENSMUSG00000032083
Q00897,2,0,Serpina1d,"serine (or cysteine) peptidase inhibitor, clade A, member 1D",ENSMUSG00000071177
Q00898,2,3966.817838406935,Serpina1e,"serine (or cysteine) peptidase inhibitor, clade A, member 1E",ENSMUSG00000072849
Q00915,2,1960.6700417273032,Rbp1,"retinol binding protein 1, cellular",ENSMUSG00000046402
Q00PI9,2,3022.898132830859,Hnrnpul2,heterogeneous nuclear ribonucleoprotein U-like 2,ENSMUSG00000071659
Q01149,2,691.1948921426778,Col1a2,"collagen, type I, alpha 2",ENSMUSG00000029661
Q01279,2,4778.771650265148,Egfr,epidermal growth factor receptor,ENSMUSG00000020122
Q01405,2,2816.027553713693,Sec23a,"SEC23 homolog A, COPII coat complex component",ENSMUSG00000020986
Q01730,2,0,NA,NA,NA
Q01853,2,3742.005476567958,Vcp,valosin containing protein,ENSMUSG00000028452
Q02013,2,0,Aqp1,aquaporin 1,ENSMUSG00000004655
Q02053,2,3229.9298094866363,Uba1,ubiquitin-like modifier activating enzyme 1,ENSMUSG00000001924
Q02248,2,3146.3446118110405,Ctnnb1,"catenin (cadherin associated protein), beta 1",ENSMUSG00000006932
Q02257,2,4459.105525789613,Jup,junction plakoglobin,ENSMUSG00000001552
Q02819,2,2920.8290401158965,Nucb1,nucleobindin 1,ENSMUSG00000030824
Q03249,2,0,Galt,galactose-1-phosphate uridyl transferase,ENSMUSG00000036073
Q03265,2,22302.146471653723,Atp5a1,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1",ENSMUSG00000025428
Q04750,2,0,Top1,topoisomerase (DNA) I,ENSMUSG00000070544
Q04857,2,0,Col6a1,"collagen, type VI, alpha 1",ENSMUSG00000001119
Q05421,2,2018.8848105073218,Cyp2e1,"cytochrome P450, family 2, subfamily e, polypeptide 1",ENSMUSG00000025479
Q05816,2,5479.31738133012,Fabp5,"fatty acid binding protein 5, epidermal",ENSMUSG00000027533
Q05D44,2,1695.249733248448,Eif5b,eukaryotic translation initiation factor 5B,ENSMUSG00000026083
Q06185,2,9170.766160749228,Atp5k,"ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit E",ENSMUSG00000050856
Q06890,2,3072.241910820835,Clu,clusterin,ENSMUSG00000022037
Q07076,2,6144.976456593377,Anxa7,annexin A7,ENSMUSG00000021814
Q07417,2,4329.450708046206,Acads,"acyl-Coenzyme A dehydrogenase, short chain",ENSMUSG00000029545
Q11011,2,2774.1543398944045,Npepps,aminopeptidase puromycin sensitive,ENSMUSG00000001441
Q2TPA8,2,3875.9923382061716,Hsdl2,hydroxysteroid dehydrogenase like 2,ENSMUSG00000028383
Q3B7Z2,2,0,Osbp,oxysterol binding protein,ENSMUSG00000024687
Q3TCH7,2,901.0166755991663,Cul4a,cullin 4A,ENSMUSG00000031446
Q3TEA8,2,812.7416914903805,Hp1bp3,"heterochromatin protein 1, binding protein 3",ENSMUSG00000028759
Q3TGG2,2,1473.1238107692423,Atxn2l,ataxin 2-like,ENSMUSG00000032637
Q3THE2,2,1877.8683576804187,Myl12b,"myosin, light chain 12B, regulatory",ENSMUSG00000034868
Q3THK7,2,2691.020598803579,Gmps,guanine monophosphate synthetase,ENSMUSG00000027823
Q3TMH2,2,0,Scrn3,secernin 3,ENSMUSG00000008226
Q3TNA1,2,2571.615260191183,Xylb,xylulokinase homolog (H. influenzae),ENSMUSG00000035769
Q3TXS7,2,2859.6916906191177,Psmd1,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 1",ENSMUSG00000026229
Q3U0V1,2,4057.6761712508164,Khsrp,KH-type splicing regulatory protein,ENSMUSG00000007670
Q3U1J4,2,2088.8299372142606,Ddb1,damage specific DNA binding protein 1,ENSMUSG00000024740
Q3U2G2,2,3508.5111999285173,Hspa4,heat shock protein 4,ENSMUSG00000020361
Q3U2P1,2,2453.95271507641,Sec24a,"Sec24 related gene family, member A (S. cerevisiae)",ENSMUSG00000036391
Q3U3J1,2,5105.801525061519,Bckdha,"branched chain ketoacid dehydrogenase E1, alpha polypeptide",ENSMUSG00000060376
Q3U3R4,2,554.6179057572173,Lmf1,lipase maturation factor 1,ENSMUSG00000002279
Q3UEG6,2,2639.5895433217233,Agxt2,alanine-glyoxylate aminotransferase 2,ENSMUSG00000089678
Q3UEP4,2,5317.6991590427915,Ugt2b36,"UDP glucuronosyltransferase 2 family, polypeptide B36",ENSMUSG00000070704
Q3UGC7,2,1803.1466657221574,Eif3j1,"eukaryotic translation initiation factor 3, subunit J1",ENSMUSG00000027236
Q3UIR3,2,0,Dtx3l,"deltex 3-like, E3 ubiquitin ligase",ENSMUSG00000049502
Q3UIU2,2,0,Ndufb6,NADH:ubiquinone oxidoreductase subunit B6,ENSMUSG00000071014
Q3UJB0,2,2234.671897985705,Sf3b2,"splicing factor 3b, subunit 2",ENSMUSG00000024853
Q3UJU9,2,3383.9029036134284,Rmdn3,regulator of microtubule dynamics 3,ENSMUSG00000070730
Q3ULD5,2,3933.0796132596834,Mccc2,methylcrotonoyl-Coenzyme A carboxylase 2 (beta),ENSMUSG00000021646
Q3UM45,2,915.4758410955085,Ppp1r7,"protein phosphatase 1, regulatory subunit 7",ENSMUSG00000026275
Q3UMF0,2,0,Cobll1,Cobl-like 1,ENSMUSG00000034903
Q3UNX5,2,2360.1370220598496,Acsm3,acyl-CoA synthetase medium-chain family member 3,ENSMUSG00000030935
Q3UPL0,2,2110.0041873408004,Sec31a,Sec31 homolog A (S. cerevisiae),ENSMUSG00000035325
Q3UQ44,2,4256.483814028923,Iqgap2,IQ motif containing GTPase activating protein 2,ENSMUSG00000021676
Q3URE1,2,1829.024871364011,Acsf3,acyl-CoA synthetase family member 3,ENSMUSG00000015016
Q3UZZ6,2,3185.7979210543685,Sult1d1,"sulfotransferase family 1D, member 1",ENSMUSG00000029273
Q3V4D5,2,381.7979985445489,Naa10,"N(alpha)-acetyltransferase 10, NatA catalytic subunit",ENSMUSG00000031388
Q4LDG0,2,5267.649655136035,Slc27a5,"solute carrier family 27 (fatty acid transporter), member 5",ENSMUSG00000030382
Q4VA53,2,757.5600127611998,Pds5b,PDS5 cohesin associated factor B,ENSMUSG00000034021
Q4VAA2,2,0,Cdv3,carnitine deficiency-associated gene expressed in ventricle 3,ENSMUSG00000032803
Q4VBD2,2,766.1346085239411,Tapt1,transmembrane anterior posterior transformation 1,ENSMUSG00000046985
Q501J6,2,2138.069524356084,Ddx17,DEAD box helicase 17,ENSMUSG00000055065
Q52KI8,2,588.1462188512464,Srrm1,serine/arginine repetitive matrix 1,ENSMUSG00000028809
Q561M1,2,0,Acp1,"acid phosphatase 1, soluble",ENSMUSG00000044573
Q569Z6,2,6846.603034426487,Thrap3,thyroid hormone receptor associated protein 3,ENSMUSG00000043962
Q571F8,2,5105.741975137787,Gls2,"glutaminase 2 (liver, mitochondrial)",ENSMUSG00000044005
Q571I9,2,3751.762846256002,Aldh16a1,"aldehyde dehydrogenase 16 family, member A1",ENSMUSG00000007833
Q58A65,2,2481.458200928648,Spag9,sperm associated antigen 9,ENSMUSG00000020859
Q59J78,2,1674.523699355881,Ndufaf2,NADH:ubiquinone oxidoreductase complex assembly factor 2,ENSMUSG00000068184
Q5FW57,2,5966.852104572074,Gm4952,predicted gene 4952,ENSMUSG00000071633
Q5FW60,2,901.2721005939437,Mup20,major urinary protein 20,ENSMUSG00000078672
Q5RKN9,2,0,Capza1,"capping protein (actin filament) muscle Z-line, alpha 1",ENSMUSG00000070372
Q5SUF2,2,0,Luc7l3,LUC7-like 3 (S. cerevisiae),ENSMUSG00000020863
Q5SUH7,2,1937.3309165038672,Clint1,clathrin interactor 1,ENSMUSG00000006169
Q5SWU9,2,2886.1529418148407,Acaca,acetyl-Coenzyme A carboxylase alpha,ENSMUSG00000020532
Q5XG73,2,4017.807776806257,Acbd5,acyl-Coenzyme A binding domain containing 5,ENSMUSG00000026781
Q5XJY5,2,4138.257559662112,Arcn1,archain 1,ENSMUSG00000032096
Q5YD48,2,4754.6910139973925,A1cf,APOBEC1 complementation factor,ENSMUSG00000052595
Q60597,2,4706.271582380004,Ogdh,oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide),ENSMUSG00000020456
Q60598,2,4070.364574626641,Cttn,cortactin,ENSMUSG00000031078
Q60605,2,4422.776959944183,Myl6,"myosin, light polypeptide 6, alkali, smooth muscle and non-muscle",ENSMUSG00000090841
Q60668,2,5065.009287528862,Hnrnpd,heterogeneous nuclear ribonucleoprotein D,ENSMUSG00000000568
Q60692,2,1740.7975679463043,Psmb6,"proteasome (prosome, macropain) subunit, beta type 6",ENSMUSG00000018286
Q60710,2,0,Samhd1,"SAM domain and HD domain, 1",ENSMUSG00000027639
Q60737,2,1712.2241151584328,Csnk2a1,"casein kinase 2, alpha 1 polypeptide",ENSMUSG00000074698
Q60749,2,2136.9530259704434,Khdrbs1,"KH domain containing, RNA binding, signal transduction associated 1",ENSMUSG00000028790
Q60759,2,3740.817569383602,Gcdh,glutaryl-Coenzyme A dehydrogenase,ENSMUSG00000003809
Q60766,2,2651.0510718491228,Irgm1,immunity-related GTPase family M member 1,ENSMUSG00000046879
Q60854,2,5972.314053463654,Serpinb6a,"serine (or cysteine) peptidase inhibitor, clade B, member 6a",ENSMUSG00000060147
Q60864,2,3791.4930871756137,Stip1,stress-induced phosphoprotein 1,ENSMUSG00000024966
Q60865,2,6559.857428570505,Caprin1,cell cycle associated protein 1,ENSMUSG00000027184
Q60866,2,996.6910298413312,Pter,phosphotriesterase related,ENSMUSG00000026730
Q60930,2,7332.024495312283,Vdac2,voltage-dependent anion channel 2,ENSMUSG00000021771
Q60931,2,6848.802229029683,Vdac3,voltage-dependent anion channel 3,ENSMUSG00000008892
Q60932,2,12065.831005056503,Vdac1,voltage-dependent anion channel 1,ENSMUSG00000020402
Q60936,2,3804.3474873380724,Coq8a,coenzyme Q8A,ENSMUSG00000026489
Q60960,2,957.3711237044906,Kpna1,karyopherin (importin) alpha 1,ENSMUSG00000022905
Q60972,2,2940.0177515146765,Rbbp4,"retinoblastoma binding protein 4, chromatin remodeling factor",ENSMUSG00000057236
Q60973,2,0,Rbbp7,"retinoblastoma binding protein 7, chromatin remodeling factor",ENSMUSG00000031353
Q60991,2,4515.175403759315,Cyp7b1,"cytochrome P450, family 7, subfamily b, polypeptide 1",ENSMUSG00000039519
Q61035,2,2075.929514837773,Hars,histidyl-tRNA synthetase,ENSMUSG00000001380
Q61074,2,0,Ppm1g,"protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform",ENSMUSG00000029147
Q61081,2,7393.204920933175,Cdc37,cell division cycle 37,ENSMUSG00000019471
Q61102,2,1304.8664723830377,Abcb7,"ATP-binding cassette, sub-family B (MDR/TAP), member 7",ENSMUSG00000031333
Q61133,2,1082.769192401318,Gstt2,"glutathione S-transferase, theta 2",ENSMUSG00000033318
Q61171,2,8982.212549148648,Prdx2,peroxiredoxin 2,ENSMUSG00000005161
Q61176,2,18889.248540299835,Arg1,"arginase, liver",ENSMUSG00000019987
Q61207,2,1616.5771720151974,Psap,prosaposin,ENSMUSG00000004207
Q61233,2,5026.799873605579,Lcp1,lymphocyte cytosolic protein 1,ENSMUSG00000021998
Q61247,2,656.2603101407392,Serpinf2,"serine (or cysteine) peptidase inhibitor, clade F, member 2",ENSMUSG00000038224
Q61335,2,6246.635219222324,Bcap31,B cell receptor associated protein 31,ENSMUSG00000002015
Q61425,2,5144.002917864305,Hadh,hydroxyacyl-Coenzyme A dehydrogenase,ENSMUSG00000027984
Q61490,2,165.71369979512295,Alcam,activated leukocyte cell adhesion molecule,ENSMUSG00000022636
Q61510,2,0,Trim25,tripartite motif-containing 25,ENSMUSG00000000275
Q61545,2,2365.357399604085,Ewsr1,Ewing sarcoma breakpoint region 1,ENSMUSG00000009079
Q61586,2,1127.990855930619,Gpam,"glycerol-3-phosphate acyltransferase, mitochondrial",ENSMUSG00000024978
Q61598,2,5258.835157919122,Gdi2,guanosine diphosphate (GDP) dissociation inhibitor 2,ENSMUSG00000021218
Q61635,2,1922.2584398866213,Ifi47,interferon gamma inducible protein 47,ENSMUSG00000078920
Q61646,2,5027.550651643276,Hp,haptoglobin,ENSMUSG00000031722
Q61656,2,6404.684472729006,NA,NA,NA
Q61694,2,7182.660130238246,Hsd3b5,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 5",ENSMUSG00000038092
Q61699,2,1102.8946549200218,Hsph1,heat shock 105kDa/110kDa protein 1,ENSMUSG00000029657
Q61703,2,1725.2998289955249,Itih2,"inter-alpha trypsin inhibitor, heavy chain 2",ENSMUSG00000037254
Q61768,2,1532.853290369312,Kif5b,kinesin family member 5B,ENSMUSG00000006740
Q61792,2,4131.35494924243,Lasp1,LIM and SH3 protein 1,ENSMUSG00000038366
Q61830,2,4568.486228428929,Mrc1,"mannose receptor, C type 1",ENSMUSG00000026712
Q61838,2,3308.5731601299062,NA,NA,NA
Q61937,2,5018.416363819015,Npm1,nucleophosmin 1,ENSMUSG00000057113
Q61990,2,1998.7709184979237,Pcbp2,poly(rC) binding protein 2,ENSMUSG00000056851
Q62086,2,1446.6791036988996,Pon2,paraoxonase 2,ENSMUSG00000032667
Q62087,2,2706.7165039072925,Pon3,paraoxonase 3,ENSMUSG00000029759
Q62093,2,0,Srsf2,serine and arginine-rich splicing factor 2,ENSMUSG00000034120
Q62167,2,3349.1966132268212,Ddx3x,"DEAD box helicase 3, X-linked",ENSMUSG00000000787
Q62186,2,10349.163209363893,Ssr4,"signal sequence receptor, delta",ENSMUSG00000002014
Q62189,2,1229.0724683605458,Snrpa,small nuclear ribonucleoprotein polypeptide A,ENSMUSG00000061479
Q62261,2,3633.181200188611,Sptbn1,"spectrin beta, non-erythrocytic 1",ENSMUSG00000020315
Q62318,2,1935.6517725902754,Trim28,tripartite motif-containing 28,ENSMUSG00000005566
Q62376,2,2686.7460614787606,Snrnp70,small nuclear ribonucleoprotein 70 (U1),ENSMUSG00000063511
Q62393,2,0,Tpd52,tumor protein D52,ENSMUSG00000027506
Q62422,2,880.7960156556576,Ostf1,osteoclast stimulating factor 1,ENSMUSG00000024725
Q62425,2,24741.376677629298,Ndufa4,"Ndufa4, mitochondrial complex associated",ENSMUSG00000029632
Q62446,2,2940.2647135461057,Fkbp3,FK506 binding protein 3,ENSMUSG00000020949
Q62448,2,1246.992708141984,Eif4g2,"eukaryotic translation initiation factor 4, gamma 2",ENSMUSG00000005610
Q62452,2,4803.996319522709,Ugt1a9,"UDP glucuronosyltransferase 1 family, polypeptide A9",ENSMUSG00000090175
Q62465,2,1139.0466035520276,Vat1,vesicle amine transport 1,ENSMUSG00000034993
Q63844,2,0,Mapk3,mitogen-activated protein kinase 3,ENSMUSG00000063065
Q63880,2,9529.009264284618,Ces3a,carboxylesterase 3A,ENSMUSG00000069922
Q63886,2,4075.943600502736,Ugt1a1,"UDP glucuronosyltransferase 1 family, polypeptide A1",ENSMUSG00000089960
Q64012,2,0,Raly,hnRNP-associated with lethal yellow,ENSMUSG00000027593
Q64133,2,2581.1245638273654,Maoa,monoamine oxidase A,ENSMUSG00000025037
Q64176,2,1460.5556447957435,Ces1e,carboxylesterase 1E,ENSMUSG00000061959
Q64213,2,1727.3390117178226,NA,NA,NA
Q64310,2,7389.28586544418,Surf4,surfeit gene 4,ENSMUSG00000014867
Q64339,2,965.6884510876852,Isg15,ISG15 ubiquitin-like modifier,ENSMUSG00000035692
Q64374,2,6810.040133008897,Rgn,regucalcin,ENSMUSG00000023070
Q64433,2,7520.659502661915,Hspe1,heat shock protein 1 (chaperonin 10),ENSMUSG00000073676
Q64435,2,4799.622228103223,Ugt1a6a,"UDP glucuronosyltransferase 1 family, polypeptide A6A",ENSMUSG00000054545
Q64442,2,7456.082058647588,Sord,sorbitol dehydrogenase,ENSMUSG00000027227
Q64458,2,1173.8760339616438,Cyp2c29,"cytochrome P450, family 2, subfamily c, polypeptide 29",ENSMUSG00000003053
Q64459,2,6246.907583379889,Cyp3a11,"cytochrome P450, family 3, subfamily a, polypeptide 11",ENSMUSG00000056035
Q64462,2,195.69614768539293,Cyp4b1,"cytochrome P450, family 4, subfamily b, polypeptide 1",ENSMUSG00000028713
Q64464,2,4129.646390367709,Cyp3a13,"cytochrome P450, family 3, subfamily a, polypeptide 13",ENSMUSG00000029727
Q64471,2,7022.5978572847935,Gstt1,"glutathione S-transferase, theta 1",ENSMUSG00000001663
Q64514,2,3144.743848520337,Tpp2,tripeptidyl peptidase II,ENSMUSG00000041763
Q64516,2,4039.879731776356,Gk,glycerol kinase,ENSMUSG00000025059
Q64521,2,3199.726350563941,Gpd2,"glycerol phosphate dehydrogenase 2, mitochondrial",ENSMUSG00000026827
Q64727,2,3264.714263560245,Vcl,vinculin,ENSMUSG00000021823
Q64FW2,2,2156.854520338818,Retsat,"retinol saturase (all trans retinol 13,14 reductase)",ENSMUSG00000056666
Q68FD5,2,4986.392702537524,Cltc,"clathrin, heavy polypeptide (Hc)",ENSMUSG00000047126
Q68FG2,2,4688.487280417399,Sptbn2,"spectrin beta, non-erythrocytic 2",ENSMUSG00000067889
Q68FL6,2,1648.6089940022894,Mars1,methionine-tRNA synthetase 1,ENSMUSG00000040354
Q6A0A2,2,1062.8660444286172,Larp4b,"La ribonucleoprotein domain family, member 4B",ENSMUSG00000033499
Q6A0A9,2,2573.705199210362,Fam120a,"family with sequence similarity 120, member A",ENSMUSG00000038014
