Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	Symbol	Genename	ENSEMBL
Q8BFZ9	-0.03763059821197343	-0.0584191301554054	-0.016842066268541473	11.278523941661922	-3.567608159540156	4.4268056152611666e-4	0.0017878804074039285	-1.1505924443707372	Erlin2	ER lipid raft associated 2	ENSMUSG00000031483
E9PZF0	0.01097434669965126	0.005026446278247695	0.016922247121054824	12.317494730250626	3.627501656315202	3.240476893413807e-4	0.001380072311827188	-1.1589975291731118	NA	NA	NA
P62192	0.018290051066964238	0.008356182973506036	0.02822391916042244	11.482459557230438	3.6202237038162783	3.3437677943509654e-4	0.0014201926800463476	-1.1700888634111548	Psmc1	protease (prosome, macropain) 26S subunit, ATPase 1	ENSMUSG00000021178
O08553	-0.03939281521382484	-0.061240193276595134	-0.017545437151054544	11.230554568146944	-3.5524827480257084	4.6195229462080975e-4	0.0018466277148141321	-1.187906521354785	Dpysl2	dihydropyrimidinase-like 2	ENSMUSG00000022048
Q8VE22	-0.04567139663524367	-0.07096499536110948	-0.02037779790937787	12.150759756524455	-3.5584492003149464	4.5630176788371575e-4	0.0018334181573322562	-1.1936474631448668	Mrps23	mitochondrial ribosomal protein S23	ENSMUSG00000023723
Q6Q899	-0.05221940994108234	-0.08124633771660786	-0.02319248216555682	10.988002132106972	-3.544827420047497	4.767771031079975e-4	0.0018961898528188298	-1.2034559699746001	Ddx58	DEAD/H box helicase 58	ENSMUSG00000040296
P40336	-0.03114612929937375	-0.048235966987727155	-0.014056291611020344	11.501593717091863	-3.5852303304793574	3.878814607106948e-4	0.0015996272377066384	-1.2416115495923163	Vps26a	VPS26 retromer complex component A	ENSMUSG00000020078
P84091	-0.023499127108487762	-0.036363371889045745	-0.010634882327929782	11.214933499388788	-3.592260249131525	3.730517525360325e-4	0.001550744386206965	-1.2466307043512597	Ap2m1	adaptor-related protein complex 2, mu 1 subunit	ENSMUSG00000022841
Q9CQZ6	-0.023613469296058127	-0.036537452795015204	-0.010689485797101052	12.54826094504049	-3.592668602792948	3.709810281224952e-4	0.00154624892521456	-1.2470351019163122	Ndufb3	NADH:ubiquinone oxidoreductase subunit B3	ENSMUSG00000026032
P99024	-0.018818860741459893	-0.029165176547017398	-0.008472544935902387	11.419968664913542	-3.5779125259122826	3.9750202528389893e-4	0.0016306972848260735	-1.2591587379971045	Tubb5	tubulin, beta 5 class I	ENSMUSG00000001525
P28843	-0.02105740461123147	-0.03258029486152146	-0.00953451436094148	11.974380622639986	-3.593207480053607	3.6976058723602214e-4	0.0015452828819516112	-1.2729515353345828	Dpp4	dipeptidylpeptidase 4	ENSMUSG00000035000
Q8K3J1	-0.029097373236249818	-0.045206331598554944	-0.012988414873944691	12.577149104207342	-3.554195708941595	4.384950184902006e-4	0.001780175880260217	-1.2860844689631286	Ndufs8	NADH:ubiquinone oxidoreductase core subunit S8	ENSMUSG00000059734
P50431	-0.02168116935953235	-0.033576058031424334	-0.009786280687640363	12.284022334903037	-3.583974312239926	3.827605946310333e-4	0.0015826846809743522	-1.2958942198852252	Shmt1	serine hydroxymethyltransferase 1 (soluble)	ENSMUSG00000020534
P20152	-0.03237194742280608	-0.0501913365651184	-0.014552558280493764	12.335594597190465	-3.5724358070703683	4.010137994678315e-4	0.0016407972999168078	-1.3247500567865105	Vim	vimentin	ENSMUSG00000026728
P28665	-0.021039121779404812	-0.032613881641426035	-0.009464361917383594	11.604476368152868	-3.5740299362964834	3.9710408885381044e-4	0.0016306972848260735	-1.3277664019646354	Mug1	murinoglobulin 1	ENSMUSG00000059908
P00416	-0.03028882167427323	-0.047212202305084564	-0.0133654410434619	13.118220461146914	-3.5253881083267165	5.050649242897729e-4	0.001983458484082701	-1.3313611657833482	COX3	cytochrome c oxidase subunit III	ENSMUSG00000064358
P06797	-0.04628676442219844	-0.07216915091215997	-0.020404377932236907	12.977950016653319	-3.5235188594089664	5.13002732621858e-4	0.0020095821330525414	-1.3317751920964218	Ctsl	cathepsin L	ENSMUSG00000021477
B1B0C7	-0.0328855265084034	-0.05114933431415924	-0.014621718702647564	11.066595565940101	-3.543741443497048	4.5904063776681453e-4	0.0018396936328962336	-1.333077593027019	NA	NA	NA
Q8CAY6	-0.011769483509557758	-0.018287094026335136	-0.005251872992780381	12.425355622698358	-3.550328563362769	4.317960283593861e-4	0.0017575447716815637	-1.4235487028952907	Acat2	acetyl-Coenzyme A acetyltransferase 2	ENSMUSG00000023832
Q8VEK3	-0.022227475561645536	-0.03455309329031964	-0.009901857832971428	13.189729023503848	-3.546126724197692	4.4119502348100275e-4	0.001786496947411418	-1.4262749077534282	Hnrnpu	heterogeneous nuclear ribonucleoprotein U	ENSMUSG00000039630
P50518	-0.05433706304901259	-0.08539993146636317	-0.02327419463166201	10.755911312748951	-3.4492007750383724	6.846093918757896e-4	0.002603514548666324	-1.4666282359811706	Atp6v1e1	ATPase, H+ transporting, lysosomal V1 subunit E1	ENSMUSG00000019210
Q07417	-0.013154671587188183	-0.02046960978067146	-0.005839733393704906	12.02391736846276	-3.535646972397399	4.557176140655116e-4	0.0018334181573322562	-1.4778955019785025	Acads	acyl-Coenzyme A dehydrogenase, short chain	ENSMUSG00000029545
Q9R1J0	-0.02595892888895479	-0.040455767973739745	-0.011462089804169833	11.896091730570086	-3.521756511617925	4.8519669517024767e-4	0.0019199048975977143	-1.4907163943388637	Nsdhl	NAD(P) dependent steroid dehydrogenase-like	ENSMUSG00000031349
P07724	-0.015452735201973634	-0.02405915554116838	-0.0068463148627788874	12.06628771371811	-3.530005983368419	4.64971697793084e-4	0.0018539560297208936	-1.4969138215520816	Alb	albumin	ENSMUSG00000029368
P63158	-0.03496794054451761	-0.05474926178981872	-0.0151866192992165	12.705673910583966	-3.4806015252742544	5.850048323938475e-4	0.0022632736461177813	-1.50765909800581	Hmgb1	high mobility group box 1	ENSMUSG00000066551
P26039	-0.0211579345783044	-0.03297445573157893	-0.009341413425029872	11.10422209110524	-3.5206174857120973	4.8287958241562384e-4	0.0019155857546081729	-1.5164742626568284	Tln1	talin 1	ENSMUSG00000028465
Q99MR8	-0.01742628877639838	-0.02716789680581179	-0.007684680746984975	11.983883623919738	-3.5170966762839635	4.881325519393995e-4	0.0019266443906092966	-1.5338913567409778	Mccc1	methylcrotonoyl-Coenzyme A carboxylase 1 (alpha)	ENSMUSG00000027709
Q60749	-0.026038403155220297	-0.04075035860893718	-0.01132644770150341	11.167583636909296	-3.482474492195391	5.680921995675237e-4	0.002208776387870745	-1.5435319661714546	Khdrbs1	KH domain containing, RNA binding, signal transduction associated 1	ENSMUSG00000028790
P26443	0.007213227410129664	0.0031748760221782706	0.011251578798081058	13.944500621238483	3.5117060122943595	4.971301132515803e-4	0.0019572150302574814	-1.5593786810777077	Glud1	glutamate dehydrogenase 1	ENSMUSG00000021794
Q8K441	-0.04419879717436818	-0.06950356921682452	-0.018894025131911837	11.480962977859395	-3.4416938030539046	6.877752823500473e-4	0.002609205743478456	-1.5607349699754156	Abca6	ATP-binding cassette, sub-family A (ABC1), member 6	ENSMUSG00000044749
O88455	-0.03796930297258599	-0.059672025945283244	-0.01626657999988873	11.828041996898097	-3.4449334689021818	6.651782791873442e-4	0.0025482197312985764	-1.5962637313434902	Dhcr7	7-dehydrocholesterol reductase	ENSMUSG00000058454
P70302	-0.041979732683743574	-0.06607389231014563	-0.017885573057341515	10.960800151780296	-3.43193903865892	7.039619844365961e-4	0.0026577115499381633	-1.5973192658083164	Stim1	stromal interaction molecule 1	ENSMUSG00000030987
Q68FD5	-0.012519700325748707	-0.019558772691121423	-0.005480627960375992	12.112167216272976	-3.4968027565826056	5.248452778065462e-4	0.0020508329230290796	-1.6100240360201372	Cltc	clathrin, heavy polypeptide (Hc)	ENSMUSG00000047126
Q80X90	-0.020348929647565118	-0.03181358289474282	-0.008884276400387414	11.516941572444665	-3.48972092048511	5.392518068862337e-4	0.0021018717560179136	-1.628277529523137	Flnb	filamin, beta	ENSMUSG00000025278
E9Q6R7	-0.03659332365154227	-0.057414674494261964	-0.015771972808822574	11.283268807612526	-3.4580086896790667	6.196360331761551e-4	0.002385446108015592	-1.6479900417426707	Utrn	utrophin	ENSMUSG00000019820
Q99J39	-0.030724234691314786	-0.04842751408441227	-0.013020955298217306	11.559568958472633	-3.417054625671643	7.319141365567421e-4	0.0027367985536798753	-1.6683910630241972	Mlycd	malonyl-CoA decarboxylase	ENSMUSG00000074064
Q91VM9	-0.02486491532489409	-0.03901368317114712	-0.010716147478641058	11.137686040541299	-3.4570427689476704	6.172771771296578e-4	0.0023822326613670494	-1.6689191055322343	Ppa2	pyrophosphatase (inorganic) 2	ENSMUSG00000028013
P34884	0.015867666795161696	0.006887945604610373	0.024847387985713017	12.18008461944257	3.4743003855655323	5.705212925766889e-4	0.00221271657642026	-1.672108667302492	Mif	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	ENSMUSG00000033307
Q8K1Z0	-0.024961326074190774	-0.0392342182699649	-0.010688433878416653	11.779050129441133	-3.4399331906743975	6.541593303747628e-4	0.0025121647011689292	-1.7281932809880463	Coq9	coenzyme Q9	ENSMUSG00000031782
P62814	-0.03521275890886005	-0.05539795513629657	-0.015027562681423537	11.763334251354415	-3.4321259925288983	6.7766382194275e-4	0.0025833867163329713	-1.7546790406512764	Atp6v1b2	ATPase, H+ transporting, lysosomal V1 subunit B2	ENSMUSG00000006273
Q9DBG7	-0.024371191136064813	-0.03834119493305145	-0.010401187339078173	11.719490321741674	-3.4310425767709223	6.728348200110677e-4	0.002571248957646207	-1.7801156428429366	Srpr	signal recognition particle receptor ('docking protein')	ENSMUSG00000032042
E9PVZ8	-0.04377063601904668	-0.06942532457732252	-0.01811594746077085	10.777471773652262	-3.3632254856510286	9.14401486818117e-4	0.003339274588543731	-1.8144908026419575	Golgb1	golgi autoantigen, golgin subfamily b, macrogolgin 1	ENSMUSG00000034243
Q8BGH2	-0.02474082493381085	-0.038959708841198565	-0.010521941026423134	11.984453136684413	-3.421883768333703	6.936686008705739e-4	0.002625191339372172	-1.8145670492301385	Samm50	SAMM50 sorting and assembly machinery component	ENSMUSG00000022437
P23492	-0.03520825576576851	-0.055485616419074166	-0.014930895112462858	12.213948530359023	-3.4153606888158454	7.144200129453574e-4	0.0026906951330929966	-1.8152172128001043	Pnp	purine-nucleoside phosphorylase	ENSMUSG00000115338
Q7TMM9	-0.028899821041722156	-0.04558884926148256	-0.012210792821961757	11.73512640581403	-3.4060021558786686	7.373203921360498e-4	0.0027504338255576275	-1.8553166661128415	Tubb2a	tubulin, beta 2A class IIA	ENSMUSG00000058672
Q9JHW2	-0.020240439544357385	-0.031941315880387726	-0.008539563208327041	11.249804615581834	-3.402518159565831	7.474326305885232e-4	0.002781517146690147	-1.8581322743010649	Nit2	nitrilase family, member 2	ENSMUSG00000022751
Q62452	-0.03972077617756553	-0.06293742581123443	-0.016504126543896637	12.584487446222237	-3.3682651956085	8.659689722461703e-4	0.003177252355917287	-1.866960379976173	Ugt1a9	UDP glucuronosyltransferase 1 family, polypeptide A9	ENSMUSG00000090175
P49443	-0.05636774605633294	-0.08947352177475883	-0.023261970337907056	11.339264221506946	-3.3539496492849845	9.248677009073576e-4	0.0033696228823268063	-1.8684663658269072	Ppm1a	protein phosphatase 1A, magnesium dependent, alpha isoform	ENSMUSG00000021096
P50580	-0.019231464217526067	-0.030323968018563296	-0.008138960416488837	12.259854951287778	-3.4091340489107527	7.22957594870072e-4	0.002709790697318759	-1.8731672609492476	Pa2g4	proliferation-associated 2G4	ENSMUSG00000025364
P08032	-0.031797731807288745	-0.050286987029093386	-0.013308476585484105	11.087474141899007	-3.3844571874081946	8.085443485343205e-4	0.002991360847388865	-1.8760096393110333	Spta1	spectrin alpha, erythrocytic 1	ENSMUSG00000026532
P53994	-0.02861957159503938	-0.04527162726541059	-0.011967515924668166	11.546462565739297	-3.3821729466781956	8.143827058630566e-4	0.0030020758709055602	-1.8794904147737963	Rab2a	RAB2A, member RAS oncogene family	ENSMUSG00000047187
Q8CGC7	-0.01935388224503124	-0.030514043703923625	-0.008193720786138859	11.64308096816667	-3.409717012529218	7.193566330166904e-4	0.0027027750418391516	-1.8900878131312506	Eprs	glutamyl-prolyl-tRNA synthetase	ENSMUSG00000026615
Q80W21	-0.03544950477133126	-0.056340733409797006	-0.01455827613286552	11.802284894532779	-3.342259794169678	9.606514257846961e-4	0.003459785137270503	-1.9338934419376965	Gstm7	glutathione S-transferase, mu 7	ENSMUSG00000004035
P53986	-0.03212571672567564	-0.05111980266166554	-0.013131630789685746	11.465386295550553	-3.330344638440989	9.918522204625296e-4	0.0035638276335239858	-1.9727951024908972	Slc16a1	solute carrier family 16 (monocarboxylic acid transporters), member 1	ENSMUSG00000032902
Q99JY0	0.006765669343741455	0.00283729567395849	0.01069404301352442	13.609951915161576	3.3860285027159716	7.808767266900905e-4	0.002899074403364873	-1.9801132627949816	Hadhb	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta	ENSMUSG00000059447
Q60766	-0.0345962676376982	-0.054879715960526904	-0.0143128193148695	11.473573816871491	-3.3551682715842537	8.845710011509335e-4	0.0032379027512855012	-2.0074635145316675	Irgm1	immunity-related GTPase family M member 1	ENSMUSG00000046879
Q3UEP4	0.012711488484062365	0.005308551470139842	0.020114425497984888	12.374423480301875	3.3758911431034258	8.09562148717524e-4	0.002991360847388865	-2.009899840998253	Ugt2b36	UDP glucuronosyltransferase 2 family, polypeptide B36	ENSMUSG00000070704
E9Q5K4	-0.015190313639702704	-0.02407353565553363	-0.006307091623871778	12.507836869328413	-3.362289489970497	8.518108857231131e-4	0.0031326597985534724	-2.0380541463065205	Cyp2c23	cytochrome P450, family 2, subfamily c, polypeptide 23	ENSMUSG00000025197
Q60737	-0.028169309320311833	-0.04478902174754773	-0.011549596893075935	11.171274102775554	-3.3353074790242285	9.578339626495672e-4	0.003459785137270503	-2.0482519286382237	Csnk2a1	casein kinase 2, alpha 1 polypeptide	ENSMUSG00000074698
E9PVU0	-0.035303047034726594	-0.05626428636845254	-0.014341807701000641	11.31597109224416	-3.314603168336704	0.0010324738837440026	0.003675983326405185	-2.0732082620172223	NA	NA	NA
Q91X52	-0.032428938176151174	-0.05180186427659604	-0.013056012075706305	11.524202986261708	-3.2950086224838286	0.0011101966296754196	0.003925876317155386	-2.1180524173477933	Dcxr	dicarbonyl L-xylulose reductase	ENSMUSG00000039450
Q3UEG6	0.017829101934320992	0.0072969989898562446	0.02836120487878574	11.565378577729636	3.328945993225046	9.606825013278301e-4	0.003459785137270503	-2.1242950468684745	Agxt2	alanine-glyoxylate aminotransferase 2	ENSMUSG00000089678
P61514	-0.022370746664954994	-0.03577189916764412	-0.008969594162265868	12.149466738151624	-3.2873668860456977	0.0011531781821224533	0.004040045556990632	-2.1306471955250457	Rpl37a	ribosomal protein L37a	ENSMUSG00000046330
E9PV24	-0.017135801883999845	-0.02724146362928332	-0.007030140138716367	12.432028955017964	-3.333905330263937	9.392994279757336e-4	0.0034142441998280737	-2.148248055679905	Fga	fibrinogen alpha chain	ENSMUSG00000028001
Q9JKR6	-0.014971436829730282	-0.023815336361349318	-0.006127537298111246	11.683569329294716	-3.3283018873949577	9.571873040319386e-4	0.003459785137270503	-2.164373436810749	Hyou1	hypoxia up-regulated 1	ENSMUSG00000032115
Q61081	-0.03144541515499298	-0.05011686919129715	-0.012773961118688806	12.704718965958216	-3.31246364534044	0.0010225806809967852	0.0036490721561597606	-2.165440312361124	Cdc37	cell division cycle 37	ENSMUSG00000019471
Q60936	-0.02338525851806516	-0.037260220588412864	-0.009510296447717455	11.766550441955852	-3.314353217313214	0.0010104291268332394	0.003622249369817324	-2.17929466000374	Coq8a	coenzyme Q8A	ENSMUSG00000026489
Q925N2	-0.029168224084449183	-0.04658103492726791	-0.011755413241630458	11.532863792905534	-3.295860692199772	0.0010937120707926198	0.0038851635605656014	-2.1796241840819857	Sfxn2	sideroflexin 2	ENSMUSG00000025036
P23589	-0.04887835204379488	-0.07853617778127829	-0.019220526306311467	12.054473463369431	-3.2471424481299533	0.0013384405756895882	0.004528100908664126	-2.186479626841506	Car5a	carbonic anhydrase 5a, mitochondrial	ENSMUSG00000025317
Q8R2K3	-0.03740032068489892	-0.06019813931972926	-0.014602502050068585	11.013093896246275	-3.233605000832311	0.0014153320337410627	0.004731546293020767	-2.200097482404373	Ssbp1	single-stranded DNA binding protein 1	ENSMUSG00000029911
Q9JHI5	-0.015038423630437555	-0.023969253934515974	-0.006107593326359136	12.300803482557056	-3.3106518055609993	0.001017855319782044	0.003640521429792528	-2.216812094169443	Ivd	isovaleryl coenzyme A dehydrogenase	ENSMUSG00000027332
A0A0R4J140	-0.027796308244802243	-0.044448948356689555	-0.011143668132914928	11.721564224061474	-3.28417593220092	0.0011381120525695838	0.004015505955228577	-2.227947283919139	Cluh	clustered mitochondria (cluA/CLU1) homolog	ENSMUSG00000020741
Q9CZ44	-0.038902078668154934	-0.06249247220762408	-0.015311685128685786	10.627621772802767	-3.246630819430706	0.0013149490173484637	0.004467968074164454	-2.233048180330785	Nsfl1c	NSFL1 (p97) cofactor (p47)	ENSMUSG00000027455
A0A0R4J1T1	-0.0318889460172998	-0.05120286810211669	-0.012575023932482915	11.000892825796537	-3.250140629316799	0.001294576588842404	0.004417954603407593	-2.2463136183304915	NA	NA	NA
P16406	-0.036949261396066684	-0.059123455746107945	-0.014775067046025419	11.853613403750987	-3.2782629604145375	0.0011587864797297145	0.004042819794235588	-2.2489969805781334	Enpep	glutamyl aminopeptidase	ENSMUSG00000028024
Q5XJY5	-0.024641222837359828	-0.03936955266139164	-0.009912893013328022	11.899683621517417	-3.2900697957892633	0.0010995726481969458	0.003897124827963325	-2.2523342029475693	Arcn1	archain 1	ENSMUSG00000032096
E9PVA8	-0.030615369138115363	-0.048969523703046115	-0.01226121457318461	10.763383578683682	-3.281158696985269	0.001142796887695871	0.004022953908713167	-2.25653975071757	Gcn1	GCN1 activator of EIF2AK4	ENSMUSG00000041638
Q8K310	-0.02517405595678645	-0.040324927867727484	-0.010023184045845413	11.497031767117372	-3.268709452327339	0.0011954645715220257	0.004152246945086502	-2.2587052165310313	Matr3	matrin 3	ENSMUSG00000037236
Q8JZY2	-0.04204677662760147	-0.06778049704101435	-0.016313056214188586	12.76948449785192	-3.2188889579697175	0.0014671703957368281	0.004868762905598009	-2.2687159501231884	Commd10	COMM domain containing 10	ENSMUSG00000042705
P0C0S6	-0.03217619061701363	-0.05203808464568995	-0.012314296588337305	12.107687489850342	-3.193668150872917	0.0016223735406098783	0.005274560233717807	-2.283203480442978	H2az1	H2A.Z variant histone 1	ENSMUSG00000037894
P62334	-0.035289598151459746	-0.05656533154368751	-0.014013864759231987	11.98084215469064	-3.263194509671435	0.0012197052730494318	0.00421769765879704	-2.285632838324937	Psmc6	proteasome (prosome, macropain) 26S subunit, ATPase, 6	ENSMUSG00000021832
P29758	0.03842421425021431	0.015209863782494025	0.0616385647179346	11.920519344777382	3.2564514167661884	0.0012492525778900528	0.004272607832039721	-2.2935488681159786	Oat	ornithine aminotransferase	ENSMUSG00000030934
Q9QY76	0.01571666500394063	0.006284903219588878	0.025148426788292384	12.728034547592161	3.2767864747582194	0.0011499217513982489	0.004038938645922389	-2.3014058137172473	NA	NA	NA
Q8VCF0	-0.02791554281890311	-0.04504440269879979	-0.010786682939006424	10.995249695085342	-3.209856899768724	0.0015028432491052868	0.004955578055594015	-2.305222586924496	Mavs	mitochondrial antiviral signaling protein	ENSMUSG00000037523
Q9DCV4	-0.023419814040260473	-0.037570050170855095	-0.009269577909665852	11.099982417543902	-3.256008051628751	0.00124884130398884	0.004272607832039721	-2.3107648155614227	Rmdn1	regulator of microtubule dynamics 1	ENSMUSG00000028229
Q9Z2Q5	-0.03871099520234091	-0.062346535940670536	-0.01507545446401129	11.56042211531357	-3.224512605603627	0.0014167393890810742	0.004731546293020767	-2.33324254162783	Mrpl40	mitochondrial ribosomal protein L40	ENSMUSG00000022706
F7DBQ0	-0.014100538270988157	-0.02256831527318047	-0.005632761268795843	12.66743987586701	-3.2738770037577174	0.001155406502862964	0.004040045556990632	-2.3413803794149164	NA	NA	NA
P17742	-0.01120424093038246	-0.01793689310514803	-0.004471588755616886	13.678397338755314	-3.271816158928391	0.0011633835075701006	0.00404981831254358	-2.349915622533299	Ppia	peptidylprolyl isomerase A	ENSMUSG00000071866
Q5FW60	-0.056604885226722385	-0.09158134925101707	-0.021628421202427695	12.024821192328906	-3.1886151642495006	0.0016269707990347387	0.005275840993550408	-2.359318714683022	Mup20	major urinary protein 20	ENSMUSG00000078672
Q8BJY1	-0.03652541344994733	-0.05899636035034433	-0.01405446654955033	11.037135471733167	-3.2012270312033846	0.0015445278787340007	0.005061000156103235	-2.365248867903037	Psmd5	proteasome (prosome, macropain) 26S subunit, non-ATPase, 5	ENSMUSG00000026869
P10605	-0.04761165885607531	-0.07680759319237616	-0.018415724519774454	12.958149103190564	-3.211328497293026	0.001489176236430218	0.004931318765975488	-2.3710556395988043	Ctsb	cathepsin B	ENSMUSG00000021939
P56379	-0.02736911467087847	-0.04389982755835975	-0.010838401783397188	12.363818417075462	-3.2555391416814126	0.0012348641086308788	0.0042465120020725305	-2.3714221907498025	Atp5mpl	ATP synthase membrane subunit 6.8PL	ENSMUSG00000021290
Q8CIE6	-0.015261537908081026	-0.024463406466112232	-0.006059669350049819	11.652645011130868	-3.260808569875109	0.0012090113656101954	0.004189988391238881	-2.3736623322173607	Copa	coatomer protein complex subunit alpha	ENSMUSG00000026553
Q8BT60	-0.031350078341741305	-0.05053233976961996	-0.012167816913862654	12.013904414967122	-3.2165741655008597	0.001443310037197228	0.004799773591785675	-2.3805665588558984	Cpne3	copine III	ENSMUSG00000028228
Q8R146	-0.029699299551583708	-0.04774905643411331	-0.011649542669054103	11.467878021834071	-3.236520339209885	0.001329520161693947	0.004507678986394011	-2.3842685214850468	Apeh	acylpeptide hydrolase	ENSMUSG00000032590
Q8VIJ6	-0.023046074351346528	-0.036964301278805456	-0.0091278474238876	12.139671818258197	-3.255620432481077	0.001232041239315665	0.0042465120020725305	-2.390936382322244	Sfpq	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)	ENSMUSG00000028820
Q9DCW4	-0.008467293976784416	-0.013582945373216925	-0.0033516425803519073	13.322271240551322	-3.254140713748167	0.0012361887146148441	0.0042465120020725305	-2.406073554797776	Etfb	electron transferring flavoprotein, beta polypeptide	ENSMUSG00000004610
Q8C0Q9	0.056192103380554595	0.021233050334295712	0.09115115642681348	11.06502349662196	3.167769307789198	0.001753659097783859	0.005605253926045341	-2.425459175374698	Rapgef5	Rap guanine nucleotide exchange factor (GEF) 5	ENSMUSG00000041992
Q9CPP6	-0.029295350265140224	-0.04737369271562745	-0.011217007814652999	12.281253470831029	-3.191229592424997	0.0015946066411827396	0.005203278037930317	-2.4318547933568215	Ndufa5	NADH:ubiquinone oxidoreductase subunit A5	ENSMUSG00000023089
Q8BMF4	0.024998219621088953	0.009710495812535377	0.04028594342964253	11.814557754397185	3.2166059063023824	0.0014246686248799811	0.004747882858608551	-2.4350742757133936	Dlat	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	ENSMUSG00000000168
Q9CQR4	-0.021475280727189416	-0.034662795684196196	-0.008287765770182632	11.195537672208374	-3.203925644014943	0.0014933066442879184	0.004934541828799189	-2.4470508322148037	Acot13	acyl-CoA thioesterase 13	ENSMUSG00000006717
Q9CZN7	-0.012232667132034464	-0.01965843386320503	-0.004806900400863896	12.025075351144464	-3.2387647325703157	0.0013034731513095277	0.004438624260341594	-2.448969407786179	Shmt2	serine hydroxymethyltransferase 2 (mitochondrial)	ENSMUSG00000025403
Q8CFX1	-0.021740819045836374	-0.035018290339265234	-0.008463347752407514	11.946659821459859	-3.220567884046307	0.00140083610838244	0.004698512526613206	-2.4594782763306915	H6pd	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)	ENSMUSG00000028980
P62331	0.02218230035926263	0.0086348942410684	0.03572970647745686	10.943449124287637	3.220395572176425	0.0014005804193519668	0.004698512526613206	-2.4622134204072195	Arf6	ADP-ribosylation factor 6	ENSMUSG00000044147
Q8BHN3	-0.01987502525745536	-0.03199864289735989	-0.007751407617550828	12.287317962050974	-3.2232133030746306	0.001375517387490544	0.0046334777513959485	-2.4898126372904015	Ganab	alpha glucosidase 2 alpha neutral subunit	ENSMUSG00000071650
Q61838	-0.016477443093850557	-0.026520590490953806	-0.006434295696747309	11.579409992529177	-3.225824260079616	0.0013639339496092624	0.004604381778054595	-2.4914899139782616	NA	NA	NA
P12815	-0.032562321578759434	-0.05284039205744204	-0.012284251100076828	12.610622794857523	-3.16153905931424	0.0017492981917216135	0.005602772691928036	-2.5225364406012734	Pdcd6	programmed cell death 6	ENSMUSG00000021576
P17665	-0.023451893825832546	-0.03792314850294903	-0.008980639148716062	12.944033642400544	-3.187616546666941	0.0015674386613481832	0.005125327672985795	-2.5394879253717253	Cox7c	cytochrome c oxidase subunit 7C	ENSMUSG00000017778
A2ADY9	-0.039689687558378414	-0.06467344122762735	-0.01470593388912948	11.143600382280582	-3.1299981860119517	0.0019728078975146768	0.006229290391546343	-2.544149952853786	Ddi2	DNA-damage inducible protein 2	ENSMUSG00000078515
O35643	-0.02251914379355193	-0.0364589282616914	-0.008579359325412463	10.662974905206408	-3.177806280636479	0.001623201197964341	0.005274560233717807	-2.5481979084281177	Ap1b1	adaptor protein complex AP-1, beta 1 subunit	ENSMUSG00000009090
Q9WVM8	-0.023244376629307093	-0.03756369211669087	-0.00892506114192332	11.20401903276033	-3.192609500900614	0.0015375284568091517	0.005048649113430051	-2.552446890039496	Aadat	aminoadipate aminotransferase	ENSMUSG00000057228
P01837	-0.03878749145183661	-0.06320501652497412	-0.014369966378699094	11.837046177672601	-3.1281231969898013	0.001961444948606693	0.006210668381625796	-2.5571201296189816	NA	NA	NA
Q9JLT4	-0.043269098624779734	-0.070893719970212	-0.01564447727934747	11.458135617527764	-3.0885772436369674	0.0022962272630492283	0.007037261200286165	-2.558851673553308	Txnrd2	thioredoxin reductase 2	ENSMUSG00000075704
P24668	-0.03645905892919296	-0.05961994026088879	-0.013298177597497133	12.095724325931332	-3.1034046650147533	0.0021796265117821623	0.006746051956268356	-2.562982495016432	M6pr	mannose-6-phosphate receptor, cation dependent	ENSMUSG00000007458
Q9EQU5	-0.045134569435558665	-0.07364073251080067	-0.01662840636031667	11.558645534061856	-3.1200803089487072	0.002045046689112733	0.0063928159501664035	-2.5796671588274807	Set	SET nuclear oncogene	ENSMUSG00000054766
P63276	-0.014354527001009781	-0.023194201090833297	-0.005514852911186266	12.36606096729996	-3.1931104899215854	0.0015272365917738495	0.005025412195668477	-2.5808910534611496	Rps17	ribosomal protein S17	ENSMUSG00000061787
A0A0R4J0B4	0.029919108403283972	0.011277402276715198	0.048560814529852746	11.04848440169361	3.1578835836416044	0.0017443687929454058	0.005601833852183015	-2.5855322626736443	Cmas	cytidine monophospho-N-acetylneuraminic acid synthetase	ENSMUSG00000030282
Q3UNX5	-0.030894478929134772	-0.05014163517087472	-0.011647322687394827	11.186210200741444	-3.158704630012204	0.001745421040315501	0.005601833852183015	-2.5864341099762127	Acsm3	acyl-CoA synthetase medium-chain family member 3	ENSMUSG00000030935
Q05D44	-0.026943456145754094	-0.043676083174645317	-0.010210829116862871	10.829666838166588	-3.1680010562681162	0.0016832152912083116	0.0054244649487806005	-2.5973156524794314	Eif5b	eukaryotic translation initiation factor 5B	ENSMUSG00000026083
