Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|O88986|KBL_MOUSE	O88986	KBL_MOUSE	Gcat	416	Mus musculus OX=10090	2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	6	2	6	67	21	67	     0	     0	     0	10K(28.0313), 11K(28.0313), 14K(28.0313), 21K(28.0313), 4M(15.9949), 5M(15.9949), 9M(15.9949), N-term(28.0313)		
sp|O89017|LGMN_MOUSE	O89017	LGMN_MOUSE	Lgmn	435	Mus musculus OX=10090	Legumain 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	     0	     0	     0	8K(28.0313), N-term(28.0313)		
sp|O89023|TPP1_MOUSE	O89023	TPP1_MOUSE	Tpp1	562	Mus musculus OX=10090	Tripeptidyl-peptidase 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	21	21	21	     0	     0	     0	14K(28.0313), 21K(28.0313), N-term(28.0313)		
sp|O89053|COR1A_MOUSE	O89053	COR1A_MOUSE	Coro1a	461	Mus musculus OX=10090	Coronin-1A 	1:Experimental evidence at protein level	1.0000	0.9990	4	2	4	12	10	12	     0	     0	     0	10K(28.0313), 11K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|O89079|COPE_MOUSE	O89079	COPE_MOUSE	Cope	308	Mus musculus OX=10090	Coatomer subunit epsilon 	1:Experimental evidence at protein level	1.0000	0.9990	7	0	7	50	0	50	     0	     0	     0	14K(28.0313), 1M(15.9949), 20K(28.0313), 22K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|O89106|FHIT_MOUSE	O89106	FHIT_MOUSE	Fhit	150	Mus musculus OX=10090	Bis(5'-adenosyl)-triphosphatase 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	     0	     0	     0	N-term(28.0313)		tr|E9PZ91|E9PZ91_MOUSE
sp|O89110|CASP8_MOUSE	O89110	CASP8_MOUSE	Casp8	480	Mus musculus OX=10090	Caspase-8 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	11	0	11	     0	     0	     0	15K(28.0313), 23K(28.0313), N-term(28.0313)		tr|A0A087WQT6|A0A087WQT6_MOUSE
sp|O89112|LANC1_MOUSE	O89112	LANC1_MOUSE	Lancl1	399	Mus musculus OX=10090	Glutathione S-transferase LANCL1 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	8	0	8	     0	     0	     0	11K(28.0313), N-term(28.0313)		tr|B2KGR2|B2KGR2_MOUSE
sp|P00167|CYB5_HUMAN	P00167	CYB5_HUMAN	CYB5A	134	Homo sapiens	Cytochrome b5 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	6	6	6	     0	     0	     0	N-term(28.0313)		
sp|P00186|CP1A2_MOUSE	P00186	CP1A2_MOUSE	Cyp1a2	513	Mus musculus OX=10090	Cytochrome P450 1A2 	1:Experimental evidence at protein level	1.0000	0.9990	17	13	17	147	105	147	     0	     0	     0	10K(28.0313), 11K(28.0313), 11M(15.9949), 12K(28.0313), 16K(28.0313), 22K(28.0313), 2M(15.9949), 4M(15.9949), 8K(28.0313), N-term(28.0313)		
sp|P00329|ADH1_MOUSE	P00329	ADH1_MOUSE	Adh1	375	Mus musculus OX=10090	Alcohol dehydrogenase 1 	1:Experimental evidence at protein level	1.0000	0.9990	14	14	14	397	397	397	     0	     0	     0	15K(28.0313), 16K(28.0313), 1K(28.0313), 24K(28.0313), 37K(28.0313), 5M(15.9949), 6M(15.9949), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|P00375|DYR_MOUSE	P00375	DYR_MOUSE	Dhfr	187	Mus musculus OX=10090	Dihydrofolate reductase 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	48	48	48	     0	     0	     0	10K(28.0313), 16K(28.0313), 18K(28.0313), 1M(15.9949), 2M(15.9949), 8K(28.0313), N-term(28.0313)		
sp|P00405|COX2_MOUSE	P00405	COX2_MOUSE	Mtco2	227	Mus musculus OX=10090	Cytochrome c oxidase subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	94	94	94	     0	     0	     0	16K(28.0313), 1M(15.9949), 20K(28.0313), 4M(15.9949), 5M(15.9949), N-term(28.0313)		
sp|P00416|COX3_MOUSE	P00416	COX3_MOUSE	mt-Co3	261	Mus musculus OX=10090	Cytochrome c oxidase subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	11	11	11	     0	     0	     0	14K(28.0313), N-term(28.0313)		
sp|P00493|HPRT_MOUSE	P00493	HPRT_MOUSE	Hprt1	218	Mus musculus OX=10090	Hypoxanthine-guanine phosphoribosyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	37	37	37	     0	     0	     0	10K(28.0313), 13K(28.0313), 16K(28.0313), 2M(15.9949), N-term(28.0313)		
sp|P00688|AMYP_MOUSE	P00688	AMYP_MOUSE	Amy2	508	Mus musculus OX=10090	Pancreatic alpha-amylase 	1:Experimental evidence at protein level	1.0000	0.9990	16	6	16	157	46	157	     0	     0	     0	11K(28.0313), 16K(28.0313), 2M(15.9949), 5M(15.9949), 7K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|P00920|CAH2_MOUSE	P00920	CAH2_MOUSE	Ca2	260	Mus musculus OX=10090	Carbonic anhydrase 2 	1:Experimental evidence at protein level	1.0000	0.9990	10	4	10	115	49	115	     0	     0	     0	10K(28.0313), 10M(15.9949), 13K(28.0313), 14M(15.9949), 16K(28.0313), 23K(28.0313), 26K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|P01027|CO3_MOUSE	P01027	CO3_MOUSE	C3	1663	Mus musculus OX=10090	Complement C3 	1:Experimental evidence at protein level	1.0000	0.9990	48	42	48	342	309	342	     0	     0	     0	10K(28.0313), 11K(28.0313), 11M(15.9949), 12K(28.0313), 13K(28.0313), 14K(28.0313), 15K(28.0313), 16K(28.0313), 17K(28.0313), 18M(15.9949), 23K(28.0313), 2K(28.0313), 4M(15.9949), 7K(28.0313), 7M(15.9949), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|P01029|CO4B_MOUSE	P01029	CO4B_MOUSE	C4b	1738	Mus musculus OX=10090	Complement C4-B 	1:Experimental evidence at protein level	1.0000	0.9990	15	15	15	66	66	66	     0	     0	     0	10M(15.9949), 11K(28.0313), 12K(28.0313), 15K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|P01112|RASH_HUMAN	P01112	RASH_HUMAN	HRAS	189	Homo sapiens	GTPase HRas 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	12	0	12	     0	     0	     0	N-term(28.0313)		sp|Q61411|RASH_MOUSE
sp|P01837|IGKC_MOUSE	P01837	IGKC_MOUSE	Igkc	107	Mus musculus OX=10090	Immunoglobulin kappa constant 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	25	0	25	     0	     0	     0	11K(28.0313), 14K(28.0313), 6M(15.9949), 8K(28.0313), N-term(28.0313)		tr|A0A5H1ZRK8|A0A5H1ZRK8_MOUSE
sp|P01872|IGHM_MOUSE	P01872	IGHM_MOUSE	Ighm	454	Mus musculus OX=10090	Immunoglobulin heavy constant mu 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	15	0	15	     0	     0	     0	12K(28.0313), 16K(28.0313), N-term(28.0313)		tr|A0A075B5P6|A0A075B5P6_MOUSE, tr|A0A075B6A0|A0A075B6A0_MOUSE
sp|P01887|B2MG_MOUSE	P01887	B2MG_MOUSE	B2m	119	Mus musculus OX=10090	Beta-2-microglobulin 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	31	31	31	     0	     0	     0	10K(28.0313), 3M(15.9949), 4M(15.9949), 6M(15.9949), 8K(28.0313), N-term(28.0313)		
sp|P01898|HA10_MOUSE	P01898	HA10_MOUSE	H2-Q10	325	Mus musculus OX=10090	H-2 class I histocompatibility antigen, Q10 alpha chain 	1:Experimental evidence at protein level	1.0000	0.9990	11	4	11	68	21	68	     0	     0	     0	10K(28.0313), 2M(15.9949), 4M(15.9949), N-term(28.0313)		
sp|P01899|HA11_MOUSE	P01899	HA11_MOUSE	H2-D1	362	Mus musculus OX=10090	H-2 class I histocompatibility antigen, D-B alpha chain 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	16	0	16	     0	     0	     0	10K(28.0313), 11K(28.0313), 7M(15.9949), N-term(28.0313)		tr|G3UZP7|G3UZP7_MOUSE
sp|P01901|HA1B_MOUSE	P01901	HA1B_MOUSE	H2-K1	369	Mus musculus OX=10090	H-2 class I histocompatibility antigen, K-B alpha chain 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	29	0	29	     0	     0	     0	13K(28.0313), 2M(15.9949), N-term(28.0313)		tr|A0A494BA33|A0A494BA33_MOUSE, tr|A0A494BAT0|A0A494BAT0_MOUSE
sp|P02301|H3C_MOUSE	P02301	H3C_MOUSE	H3-5	136	Mus musculus OX=10090	Histone H3.3C 	3:Protein inferred from homology	1.0000	0.9990	4	0	4	27	0	27	     0	     0	     0	10K(28.0313), 11K(28.0313), 1K(28.0313), 9K(28.0313), N-term(28.0313)		sp|P84244|H33_MOUSE, tr|E0CZ27|E0CZ27_MOUSE, tr|F8WI35|F8WI35_MOUSE
sp|P03911|NU4M_MOUSE	P03911	NU4M_MOUSE	Mtnd4	459	Mus musculus OX=10090	NADH-ubiquinone oxidoreductase chain 4 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	     0	     0	     0	10K(28.0313), 18K(28.0313), 7M(15.9949), N-term(28.0313)		
sp|P03921|NU5M_MOUSE	P03921	NU5M_MOUSE	Mtnd5	607	Mus musculus OX=10090	NADH-ubiquinone oxidoreductase chain 5 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	11	11	11	     0	     0	     0	13K(28.0313), 17K(28.0313), 7K(28.0313), N-term(28.0313)		
sp|P03958|ADA_MOUSE	P03958	ADA_MOUSE	Ada	352	Mus musculus OX=10090	Adenosine deaminase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	8	8	8	     0	     0	     0	14K(28.0313), N-term(28.0313)		
sp|P03987|IGHG3_MOUSE	P03987	IGHG3_MOUSE		398	Mus musculus OX=10090	Ig gamma-3 chain C region 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	10	0	10	     0	     0	     0	13M(15.9949), N-term(28.0313)		tr|A0A075B5P5|A0A075B5P5_MOUSE, tr|A0A1Y7VJN6|A0A1Y7VJN6_MOUSE
sp|P04117|FABP4_MOUSE	P04117	FABP4_MOUSE	Fabp4	132	Mus musculus OX=10090	Fatty acid-binding protein, adipocyte 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	36	36	36	     0	     0	     0	11M(15.9949), 12K(28.0313), 14K(28.0313), 15K(28.0313), N-term(28.0313)		
sp|P04186|CFAB_MOUSE	P04186	CFAB_MOUSE	Cfb	761	Mus musculus OX=10090	Complement factor B 	1:Experimental evidence at protein level	1.0000	0.9990	8	0	8	41	0	41	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 16K(28.0313), 8K(28.0313), N-term(28.0313)		tr|B8JJM5|B8JJM5_MOUSE, tr|B8JJN0|B8JJN0_MOUSE
sp|P04247|MYG_MOUSE	P04247	MYG_MOUSE	Mb	154	Mus musculus OX=10090	Myoglobin 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	31	0	31	     0	     0	     0	15K(28.0313), 16K(28.0313), 17K(28.0313), 18K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	Homo sapiens	Keratin, type II cytoskeletal 1 	1:Experimental evidence at protein level	1.0000	0.9990	14	7	14	63	31	63	     0	     0	     0	11K(28.0313), 12K(28.0313), 6M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|P04919|B3AT_MOUSE	P04919	B3AT_MOUSE	Slc4a1	929	Mus musculus OX=10090	Band 3 anion transport protein 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	40	40	40	     0	     0	     0	10K(28.0313), 13K(28.0313), 14K(28.0313), 17K(28.0313), 6K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|P05063|ALDOC_MOUSE	P05063	ALDOC_MOUSE	Aldoc	363	Mus musculus OX=10090	Fructose-bisphosphate aldolase C 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	23	23	23	     0	     0	     0	12K(28.0313), 12M(15.9949), 14K(28.0313), N-term(28.0313)		
sp|P05064|ALDOA_MOUSE	P05064	ALDOA_MOUSE	Aldoa	364	Mus musculus OX=10090	Fructose-bisphosphate aldolase A 	1:Experimental evidence at protein level	1.0000	0.9990	13	0	13	169	0	169	     0	     0	     0	12K(28.0313), 14K(28.0313), 15K(28.0313), 30K(28.0313), 8K(28.0313), 8M(15.9949), N-term(28.0313)		tr|A6ZI44|A6ZI44_MOUSE
sp|P05201|AATC_MOUSE	P05201	AATC_MOUSE	Got1	413	Mus musculus OX=10090	Aspartate aminotransferase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	19	13	19	248	158	248	     0	     0	     0	13K(28.0313), 14M(15.9949), 15K(28.0313), 19K(28.0313), 20K(28.0313), 23K(28.0313), 24K(28.0313), 5M(15.9949), 6M(15.9949), 7K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|P05202|AATM_MOUSE	P05202	AATM_MOUSE	Got2	430	Mus musculus OX=10090	Aspartate aminotransferase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	13	13	13	184	184	184	     0	     0	     0	13K(28.0313), 15K(28.0313), 1M(15.9949), 2M(15.9949), 4M(15.9949), 7K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|P05366|SAA1_MOUSE	P05366	SAA1_MOUSE	Saa1	122	Mus musculus OX=10090	Serum amyloid A-1 protein 	1:Experimental evidence at protein level	1.0000	0.9990	5	3	5	22	16	22	     0	     0	     0	10K(28.0313), 13K(28.0313), N-term(28.0313)		
sp|P05367|SAA2_MOUSE	P05367	SAA2_MOUSE	Saa2	122	Mus musculus OX=10090	Serum amyloid A-2 protein 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	12	0	12	     0	     0	     0	N-term(28.0313)		tr|A0A1B0GQV5|A0A1B0GQV5_MOUSE
sp|P05784|K1C18_MOUSE	P05784	K1C18_MOUSE	Krt18	423	Mus musculus OX=10090	Keratin, type I cytoskeletal 18 	1:Experimental evidence at protein level	1.0000	0.9990	26	23	26	446	430	446	     0	     0	     0	11K(28.0313), 12K(28.0313), 12M(15.9949), 13K(28.0313), 15M(15.9949), 16K(28.0313), 20M(15.9949), 22K(28.0313), 25K(28.0313), 26K(28.0313), 3M(15.9949), 6M(15.9949), 7K(28.0313), 7M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|P05977|MYL1_MOUSE	P05977	MYL1_MOUSE	Myl1	188	Mus musculus OX=10090	Myosin light chain 1/3, skeletal muscle isoform 	1:Experimental evidence at protein level	1.0000	0.9990	8	0	8	90	0	90	     0	     0	     0	10M(15.9949), 12K(28.0313), 13K(28.0313), 7K(28.0313), 7M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|P06151|LDHA_MOUSE	P06151	LDHA_MOUSE	Ldha	332	Mus musculus OX=10090	L-lactate dehydrogenase A chain 	1:Experimental evidence at protein level	1.0000	0.9990	15	0	15	381	0	381	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 12M(15.9949), 14K(28.0313), 15K(28.0313), 17K(28.0313), 19M(15.9949), 20K(28.0313), 22K(28.0313), 2K(28.0313), 3M(15.9949), 4M(15.9949), 7M(15.9949), 8K(28.0313), 9K(28.0313), N-term(28.0313)		tr|A0A1B0GSX0|A0A1B0GSX0_MOUSE
sp|P06683|CO9_MOUSE	P06683	CO9_MOUSE	C9	548	Mus musculus OX=10090	Complement component C9 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	8	0	8	     0	     0	     0	12K(28.0313), 13K(28.0313), N-term(28.0313)		tr|A0A0R4J032|A0A0R4J032_MOUSE
sp|P06684|CO5_MOUSE	P06684	CO5_MOUSE	C5	1680	Mus musculus OX=10090	Complement C5 	1:Experimental evidence at protein level	1.0000	0.9990	6	4	6	25	16	25	     0	     0	     0	11K(28.0313), 13K(28.0313), 15K(28.0313), N-term(28.0313)		
sp|P06728|APOA4_MOUSE	P06728	APOA4_MOUSE	Apoa4	395	Mus musculus OX=10090	Apolipoprotein A-IV 	1:Experimental evidence at protein level	1.0000	0.9990	13	13	13	64	64	64	     0	     0	     0	11K(28.0313), 12K(28.0313), 14K(28.0313), 19K(28.0313), 5M(15.9949), 8K(28.0313), 8M(15.9949), 9M(15.9949), N-term(28.0313)		
sp|P06745|G6PI_MOUSE	P06745	G6PI_MOUSE	Gpi	558	Mus musculus OX=10090	Glucose-6-phosphate isomerase 	1:Experimental evidence at protein level	1.0000	0.9990	18	9	18	185	119	185	     0	     0	     0	10M(15.9949), 11K(28.0313), 14K(28.0313), 14M(15.9949), 15K(28.0313), 17K(28.0313), 25K(28.0313), 26K(28.0313), 30K(28.0313), 3M(15.9949), 5M(15.9949), 7K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|P06797|CATL1_MOUSE	P06797	CATL1_MOUSE	Ctsl	334	Mus musculus OX=10090	Procathepsin L 	1:Experimental evidence at protein level	1.0000	0.9990	4	1	4	32	9	32	     0	     0	     0	13K(28.0313), 14K(28.0313), 16K(28.0313), 9M(15.9949), N-term(28.0313)		
sp|P06801|MAOX_MOUSE	P06801	MAOX_MOUSE	Me1	572	Mus musculus OX=10090	NADP-dependent malic enzyme 	1:Experimental evidence at protein level	1.0000	0.9990	17	0	17	180	0	180	     0	     0	     0	10M(15.9949), 11K(28.0313), 12K(28.0313), 12M(15.9949), 16K(28.0313), 18K(28.0313), 1M(15.9949), 2M(15.9949), 5M(15.9949), 7K(28.0313), 7M(15.9949), N-term(28.0313)		tr|Q3TQP6|Q3TQP6_MOUSE
sp|P06802|ENPP1_MOUSE	P06802	ENPP1_MOUSE	Enpp1	906	Mus musculus OX=10090	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	24	0	24	     0	     0	     0	14K(28.0313), 16K(28.0313), 7K(28.0313), 8K(28.0313), N-term(28.0313)		tr|A0A0R4J1Q7|A0A0R4J1Q7_MOUSE, tr|G3X9S2|G3X9S2_MOUSE
sp|P06909|CFAH_MOUSE	P06909	CFAH_MOUSE	Cfh	1234	Mus musculus OX=10090	Complement factor H 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	24	0	24	     0	     0	     0	10K(28.0313), 12K(28.0313), 18K(28.0313), 9K(28.0313), N-term(28.0313)		tr|D6RGQ0|D6RGQ0_MOUSE, tr|E9Q8H9|E9Q8H9_MOUSE, tr|E9Q8I0|E9Q8I0_MOUSE
sp|P07309|TTHY_MOUSE	P07309	TTHY_MOUSE	Ttr	147	Mus musculus OX=10090	Transthyretin 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	53	53	53	     0	     0	     0	10K(28.0313), 13K(28.0313), 15K(28.0313), N-term(28.0313)		
sp|P07310|KCRM_MOUSE	P07310	KCRM_MOUSE	Ckm	381	Mus musculus OX=10090	Creatine kinase M-type 	1:Experimental evidence at protein level	1.0000	0.9990	13	1	13	114	5	114	     0	     0	     0	10K(28.0313), 12K(28.0313), 14K(28.0313), 17K(28.0313), 19K(28.0313), 2M(15.9949), 5K(28.0313), 7M(15.9949), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|P07356|ANXA2_MOUSE	P07356	ANXA2_MOUSE	Anxa2	339	Mus musculus OX=10090	Annexin A2 	1:Experimental evidence at protein level	1.0000	0.9990	12	0	12	48	0	48	     0	     0	     0	11K(28.0313), 12K(28.0313), 16K(28.0313), 18K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|P07724|ALBU_MOUSE	P07724	ALBU_MOUSE	Alb	608	Mus musculus OX=10090	Albumin 	1:Experimental evidence at protein level	1.0000	0.9990	27	24	27	654	614	654	     0	     0	     0	10K(28.0313), 12K(28.0313), 13K(28.0313), 15K(28.0313), 16K(28.0313), 17M(15.9949), 1K(28.0313), 22K(28.0313), 2M(15.9949), 3M(15.9949), 7K(28.0313), 7M(15.9949), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|P07758|A1AT1_MOUSE	P07758	A1AT1_MOUSE	Serpina1a	413	Mus musculus OX=10090	Alpha-1-antitrypsin 1-1 	1:Experimental evidence at protein level	1.0000	0.9990	8	0	8	129	0	129	     0	     0	     0	10K(28.0313), 16K(28.0313), 19K(28.0313), 1K(28.0313), 1M(15.9949), 22K(28.0313), 26K(28.0313), N-term(28.0313)		tr|A0A0A0MQA3|A0A0A0MQA3_MOUSE, tr|A0A0R4J0X5|A0A0R4J0X5_MOUSE
sp|P07901|HS90A_MOUSE	P07901	HS90A_MOUSE	Hsp90aa1	733	Mus musculus OX=10090	Heat shock protein HSP 90-alpha 	1:Experimental evidence at protein level	1.0000	0.9990	17	13	17	290	186	290	     0	     0	     0	10K(28.0313), 10M(15.9949), 11M(15.9949), 12K(28.0313), 13K(28.0313), 14K(28.0313), 15K(28.0313), 7K(28.0313), 7M(15.9949), N-term(28.0313)		
sp|P08003|PDIA4_MOUSE	P08003	PDIA4_MOUSE	Pdia4	638	Mus musculus OX=10090	Protein disulfide-isomerase A4 	1:Experimental evidence at protein level	1.0000	0.9990	28	0	28	382	0	382	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 14K(28.0313), 15K(28.0313), 16K(28.0313), 19K(28.0313), 1M(15.9949), 20K(28.0313), 21K(28.0313), 3M(15.9949), 4M(15.9949), 7K(28.0313), 7M(15.9949), 8K(28.0313), 8M(15.9949), N-term(28.0313)		tr|A0A0R4J0Z1|A0A0R4J0Z1_MOUSE
sp|P08030|APT_MOUSE	P08030	APT_MOUSE	Aprt	180	Mus musculus OX=10090	Adenine phosphoribosyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	11	3	11	     0	     0	     0	N-term(28.0313)		
sp|P08032|SPTA1_MOUSE	P08032	SPTA1_MOUSE	Spta1	2415	Mus musculus OX=10090	Spectrin alpha chain, erythrocytic 1 	1:Experimental evidence at protein level	1.0000	0.9990	27	26	27	88	80	88	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 13K(28.0313), 14K(28.0313), 16K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|P08113|ENPL_MOUSE	P08113	ENPL_MOUSE	Hsp90b1	802	Mus musculus OX=10090	Endoplasmin 	1:Experimental evidence at protein level	1.0000	0.9990	32	15	32	645	237	645	     0	     0	     0	10K(28.0313), 10M(15.9949), 11K(28.0313), 11M(15.9949), 12K(28.0313), 12M(15.9949), 13K(28.0313), 15K(28.0313), 16K(28.0313), 19K(28.0313), 3M(15.9949), 4M(15.9949), 7K(28.0313), 8K(28.0313), 8M(15.9949), 9K(28.0313), 9M(15.9949), N-term(28.0313)		
sp|P08122|CO4A2_MOUSE	P08122	CO4A2_MOUSE	Col4a2	1707	Mus musculus OX=10090	Collagen alpha-2(IV) chain 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	6	6	6	     0	     0	     0	10K(28.0313), N-term(28.0313)		
sp|P08226|APOE_MOUSE	P08226	APOE_MOUSE	Apoe	311	Mus musculus OX=10090	Apolipoprotein E 	1:Experimental evidence at protein level	1.0000	0.9990	16	8	16	180	93	180	     0	     0	     0	10M(15.9949), 1M(15.9949), 34K(28.0313), 5M(15.9949), 6M(15.9949), 7K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|P08228|SODC_MOUSE	P08228	SODC_MOUSE	Sod1	154	Mus musculus OX=10090	Superoxide dismutase [Cu-Zn] 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	480	480	480	     0	     0	     0	10K(28.0313), 12K(28.0313), 14K(28.0313), 24K(28.0313), 2M(15.9949), 4K(28.0313), 7K(28.0313), N-term(28.0313)		
sp|P08249|MDHM_MOUSE	P08249	MDHM_MOUSE	Mdh2	338	Mus musculus OX=10090	Malate dehydrogenase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	16	9	16	204	105	204	     0	     0	     0	10K(28.0313), 10M(15.9949), 12K(28.0313), 13K(28.0313), 15K(28.0313), 19K(28.0313), 1K(28.0313), 1M(15.9949), 7K(28.0313), 8K(28.0313), 9K(28.0313), 9M(15.9949), N-term(28.0313)		
sp|P08752|GNAI2_MOUSE	P08752	GNAI2_MOUSE	Gnai2	355	Mus musculus OX=10090	Guanine nucleotide-binding protein G(i) subunit alpha-2 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	16	0	16	     0	     0	     0	2M(15.9949), N-term(28.0313)		
sp|P09055|ITB1_MOUSE	P09055	ITB1_MOUSE	Itgb1	798	Mus musculus OX=10090	Integrin beta-1 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	24	24	24	     0	     0	     0	10K(28.0313), 10M(15.9949), 17K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|P09103|PDIA1_MOUSE	P09103	PDIA1_MOUSE	P4hb	509	Mus musculus OX=10090	Protein disulfide-isomerase 	1:Experimental evidence at protein level	1.0000	0.9990	27	20	27	656	447	656	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 14K(28.0313), 15K(28.0313), 17K(28.0313), 1M(15.9949), 25K(28.0313), 26M(15.9949), 2K(28.0313), 30K(28.0313), 33K(28.0313), 7K(28.0313), 8K(28.0313), 8M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|P09405|NUCL_MOUSE	P09405	NUCL_MOUSE	Ncl	707	Mus musculus OX=10090	Nucleolin 	1:Experimental evidence at protein level	1.0000	0.9990	16	16	16	121	121	121	     0	     0	     0	10K(28.0313), 12K(28.0313), 13K(28.0313), 14K(28.0313), 21K(28.0313), 3M(15.9949), 7K(28.0313), 7M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|P09411|PGK1_MOUSE	P09411	PGK1_MOUSE	Pgk1	417	Mus musculus OX=10090	Phosphoglycerate kinase 1 	1:Experimental evidence at protein level	1.0000	0.9990	21	5	21	351	126	351	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 13K(28.0313), 16K(28.0313), 16M(15.9949), 17K(28.0313), 18K(28.0313), 19K(28.0313), 3M(15.9949), 5M(15.9949), 7K(28.0313), 7M(15.9949), 8K(28.0313), N-term(28.0313)		
sp|P09528|FRIH_MOUSE	P09528	FRIH_MOUSE	Fth1	182	Mus musculus OX=10090	Ferritin heavy chain 	1:Experimental evidence at protein level	1.0000	0.9990	6	2	6	71	43	71	     0	     0	     0	11K(28.0313), 15K(28.0313), 1M(15.9949), 7K(28.0313), 8M(15.9949), N-term(28.0313)		
sp|P09542|MYL3_MOUSE	P09542	MYL3_MOUSE	Myl3	204	Mus musculus OX=10090	Myosin light chain 3 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	26	0	26	     0	     0	     0	12K(28.0313), 23K(28.0313), 8K(28.0313), N-term(28.0313)		tr|A0A0G2JDW2|A0A0G2JDW2_MOUSE
